,Ref_task1_Time,User_task1_Time,Ref_task1_Force,User_task1_Force,Ref_task1_L_pitchAcc,User_task1_L_pitchAcc,Ref_task1_L_yawAcc,User_task1_L_yawAcc,Ref_task1_R_pitchAcc,User_task1_R_pitchAcc,Ref_task1_R_yawAcc,User_task1_R_yawAcc,Ref_task1_L_surgeAcc,User_task1_L_surgeAcc,Ref_task1_L_rollAcc,User_task1_L_rollAcc,Ref_task1_R_surgeAcc,User_task1_R_surgeAcc,Ref_task1_R_rollAcc,User_task1_R_rollAcc,Ref_task1_L_pitchVel,User_task1_L_pitchVel,Ref_task1_L_yawVel,User_task1_L_yawVel,Ref_task1_R_pitchVel,User_task1_R_pitchVel,Ref_task1_R_yawVel,User_task1_R_yawVel,Ref_task1_L_surgeVel,User_task1_L_surgeVel,Ref_task1_L_rollVel,User_task1_L_rollVel,Ref_task1_R_surgeVel,User_task1_R_surgeVel,Ref_task1_R_rollVel,User_task1_R_rollVel,Ref_task1_L_pitch,User_task1_L_pitch,Ref_task1_L_yaw,User_task1_L_yaw,Ref_task1_R_pitch,User_task1_R_pitch,Ref_task1_R_yaw,User_task1_R_yaw,Ref_task1_L_surge,User_task1_L_surge,Ref_task1_L_roll,User_task1_L_roll,Ref_task1_R_surge,User_task1_R_surge,Ref_task1_R_roll,User_task1_R_roll
611,,,[0.13],[0.13],,,,,,,,,[0.],[-0.],[-0.],[-0.],,,,,,,,,,,,,[3.02],[1.9],[-0.28],[0.9],,,,,,,,,[4.72],[4.83],,,,,,,,,,
612,,,[0.13],[0.12],,,,,,,,,[0.],[0.],[-0.],[-0.],,,,,,,,,,,,,[0.08],[0.],,,,,,,,,,,[4.85],[4.83],,,,,,,,,,
613,,,[0.09],[0.09],,,,,,,,,[0.],[0.],[-0.],[0.],,,,,,,,,,,,,[0.32],[0.],,,,,,,,,,,[5.03],[4.83],,,,,,,,,,
614,,,,,,,,,,,,,[0.],[-0.],[-0.],[-0.],,,,,,,,,,,,,[0.08],[0.],,,,,,,,,,,[5.19],[4.83],,,,,,,,,,
615,,,,,,,,,,,,,[0.],[-0.],[-0.],[0.],,,,,,,,,,,,,[0.04],[0.],,,,,,,,,,,[5.34],[5.65],,,,,,,,,,
616,,,,,,,,,,,,,[0.],[-0.],[-0.],[-0.],,,,,,,,,,,,,[-0.02],[0.],,,,,,,,,,,[5.49],[5.65],,,,,,,,,,
617,,,,,,,,,,,,,[0.],[0.],[-0.],[-0.],,,,,,,,,,,,,[-0.63],[0.],,,,,,,,,,,[5.69],[5.65],,,,,,,,,,
618,,,,,,,,,,,,,[0.],[0.],[-0.],[-0.],,,,,,,,,,,,,[-8.08],[0.],,,,,,,,,,,[5.8],[5.65],,,,,,,,,,
619,,,,,,,,,,,,,[0.],[0.],[-0.],[0.],,,,,,,,,,,,,[-13.76],[0.],,,,,,,,,,,[5.85],[5.65],,,,,,,,,,
620,,,,,,,,,,,,,[0.],[0.],[-0.],[-0.],,,,,,,,,,,,,[0.78],[0.],,,,,,,,,,,[5.89],[5.65],,,,,,,,,,
621,,,,,,,,,,,,,[0.],[0.],[-0.],[0.],,,,,,,,,,,,,[0.],[0.],,,,,,,,,,,[5.98],[5.65],,,,,,,,,,
622,,,,,,,,,,,,,[0.],[0.],[-0.],[-0.],,,,,,,,,,,,,[0.],[0.],,,,,,,,,,,[6.03],[5.65],,,,,,,,,,
623,,,,,,,,,,,,,[0.],[0.],[-0.],[0.],,,,,,,,,,,,,[-0.04],[0.],,,,,,,,,,,[6.06],[5.65],,,,,,,,,,
624,,,,,,,,,,,,,[-0.],[0.],[-0.],[-0.],,,,,,,,,,,,,[-0.02],[0.],,,,,,,,,,,[6.13],[6.6],,,,,,,,,,
625,,,,,,,,,,,,,[-0.],[0.],[-0.],[0.],,,,,,,,,,,,,[-0.02],[0.],,,,,,,,,,,[6.2],[6.6],,,,,,,,,,
626,,,,,,,,,,,,,[0.],[0.],[-0.],[-0.],,,,,,,,,,,,,[0.],[0.],,,,,,,,,,,[6.23],[6.6],,,,,,,,,,
627,,,,,,,,,,,,,[0.01],[0.01],[-0.],[0.],,,,,,,,,,,,,[0.],[0.04],,,,,,,,,,,[6.23],[6.6],,,,,,,,,,
628,,,,,,,,,,,,,[0.01],[0.02],[-0.],[0.],,,,,,,,,,,,,[0.12],[0.12],,,,,,,,,,,[6.15],[6.6],,,,,,,,,,
629,,,,,,,,,,,,,[0.01],[0.01],[-0.],[0.],,,,,,,,,,,,,[0.49],[0.16],,,,,,,,,,,[6.19],[6.6],,,,,,,,,,
630,,,,,,,,,,,,,[0.01],[0.01],[-0.],[0.],,,,,,,,,,,,,[0.59],[0.16],,,,,,,,,,,[6.19],[6.6],,,,,,,,,,
631,,,,,,,,,,,,,[0.01],[0.01],[-0.],[0.],,,,,,,,,,,,,[3.8],[5.24],,,,,,,,,,,[6.19],[6.6],,,,,,,,,,
632,,,,,,,,,,,,,[0.],[0.],[-0.],[0.],,,,,,,,,,,,,[13.59],[14.73],,,,,,,,,,,[6.14],[6.6],,,,,,,,,,
633,,,,,,,,,,,,,[0.],[-0.],[-0.],[-0.],,,,,,,,,,,,,[19.96],[14.73],,,,,,,,,,,[6.14],[6.6],,,,,,,,,,
634,,,,,,,,,,,,,[0.],[-0.],[-0.],[0.],,,,,,,,,,,,,[20.36],[14.73],,,,,,,,,,,[6.14],[6.6],,,,,,,,,,
635,,,,,,,,,,,,,[0.],[0.],[-0.],[-0.],,,,,,,,,,,,,[24.06],[14.73],,,,,,,,,,,[6.12],[6.6],,,,,,,,,,
636,,,,,,,,,,,,,[0.],[0.],[-0.],[-0.],,,,,,,,,,,,,[25.49],[14.73],,,,,,,,,,,[6.11],[6.6],,,,,,,,,,
637,,,,,,,,,,,,,[0.],[0.],[-0.],[-0.],,,,,,,,,,,,,[21.8],[14.73],,,,,,,,,,,[6.11],[6.6],,,,,,,,,,
638,,,,,,,,,,,,,[0.],[0.],[-0.],[0.],,,,,,,,,,,,,[16.44],[13.86],,,,,,,,,,,[6.19],[6.6],,,,,,,,,,
639,,,,,,,,,,,,,[-0.],[0.],[-0.],[-0.],,,,,,,,,,,,,[5.34],[11.48],,,,,,,,,,,[6.33],[6.6],,,,,,,,,,
640,,,,,,,,,,,,,[-0.01],[0.],[-0.],[0.],,,,,,,,,,,,,[0.74],[-6.63],,,,,,,,,,,[6.43],[6.6],,,,,,,,,,
641,,,,,,,,,,,,,[-0.],[0.],[-0.],[-0.],,,,,,,,,,,,,[0.84],[-6.63],,,,,,,,,,,[6.59],[6.6],,,,,,,,,,
642,,,,,,,,,,,,,[-0.],[0.],[-0.],[0.],,,,,,,,,,,,,[0.51],[-6.63],,,,,,,,,,,[6.74],[6.6],,,,,,,,,,
643,,,,,,,,,,,,,[-0.],[0.],[-0.],[-0.],,,,,,,,,,,,,[0.2],[-6.63],,,,,,,,,,,[6.84],[6.6],,,,,,,,,,
644,,,,,,,,,,,,,[-0.01],[-0.01],[-0.],[-0.],,,,,,,,,,,,,[0.29],[-6.63],,,,,,,,,,,[6.95],[6.6],,,,,,,,,,
645,,,,,,,,,,,,,[-0.01],[-0.01],[-0.],[-0.],,,,,,,,,,,,,[0.57],[-6.63],,,,,,,,,,,[7.01],[6.6],,,,,,,,,,
646,,,,,,,,,,,,,[-0.01],[-0.01],[-0.],[0.],,,,,,,,,,,,,[1.22],[-6.63],,,,,,,,,,,[7.06],[6.6],,,,,,,,,,
647,,,,,,,,,,,,,[-0.02],[-0.01],[-0.],[0.],,,,,,,,,,,,,,,,,,,,,,,,,[7.1],[6.6],,,,,,,,,,
648,,,,,,,,,,,,,[-0.],[-0.],[-0.],[-0.],,,,,,,,,,,,,,,,,,,,,,,,,[7.14],[6.6],,,,,,,,,,
649,,,,,,,,,,,,,[-0.],[0.01],[-0.],[0.],,,,,,,,,,,,,,,,,,,,,,,,,[7.16],[6.6],,,,,,,,,,
