,Ref_task1_Time,User_task1_Time,Ref_task1_Force,User_task1_Force,Ref_task1_L_pitchAcc,User_task1_L_pitchAcc,Ref_task1_L_yawAcc,User_task1_L_yawAcc,Ref_task1_R_pitchAcc,User_task1_R_pitchAcc,Ref_task1_R_yawAcc,User_task1_R_yawAcc,Ref_task1_L_surgeAcc,User_task1_L_surgeAcc,Ref_task1_L_rollAcc,User_task1_L_rollAcc,Ref_task1_R_surgeAcc,User_task1_R_surgeAcc,Ref_task1_R_rollAcc,User_task1_R_rollAcc,Ref_task1_L_pitchVel,User_task1_L_pitchVel,Ref_task1_L_yawVel,User_task1_L_yawVel,Ref_task1_R_pitchVel,User_task1_R_pitchVel,Ref_task1_R_yawVel,User_task1_R_yawVel,Ref_task1_L_surgeVel,User_task1_L_surgeVel,Ref_task1_L_rollVel,User_task1_L_rollVel,Ref_task1_R_surgeVel,User_task1_R_surgeVel,Ref_task1_R_rollVel,User_task1_R_rollVel,Ref_task1_L_pitch,User_task1_L_pitch,Ref_task1_L_yaw,User_task1_L_yaw,Ref_task1_R_pitch,User_task1_R_pitch,Ref_task1_R_yaw,User_task1_R_yaw,Ref_task1_L_surge,User_task1_L_surge,Ref_task1_L_roll,User_task1_L_roll,Ref_task1_R_surge,User_task1_R_surge,Ref_task1_R_roll,User_task1_R_roll
158,[10.207],[10.232],[0.12],[0.12],[0.02],[0.],[0.01],[-0.],[0.03],[0.02],[-0.12],[-0.03],[0.],[-0.],[-0.],[-0.],[0.05],[-1.25],[0.05],[-1.25],[-0.12],[-0.22],[-0.52],[-0.84],[0.05],[-0.72],[2.53],[3.47],[0.],[0.],[0.],[0.],[650.88],[0.],[651.52],[0.],[-0.57],[-0.1],[-52.76],[-52.73],[11.01],[11.1],[-25.58],[-25.5],[-30602.],[64947.],[-755.],[-1746.],[6103046.],[2073442.],[6768867.],[2785843.]
159,[10.256],[10.232],[0.12],[0.14],[-0.03],[-0.],[-0.01],[-0.],[-0.06],[-0.07],[0.04],[0.04],[0.],[-0.],[-0.],[-0.],[0.],[-1.25],[0.],[-1.25],[-0.12],[-0.1],[0.65],[0.6],[-0.47],[-0.72],[4.4],[5.98],[0.],[0.],[0.],[0.],[650.88],[0.],[650.88],[0.],[-0.55],[-0.1],[-52.78],[-52.73],[10.91],[11.1],[-25.58],[-25.59],[-35518.],[65042.],[-640.],[-1746.],[6102511.],[2073442.],[6768882.],[2785843.]
160,[10.305],[10.282],[0.12],[0.14],[0.02],[-0.],[0.],[-0.],[-0.01],[-0.05],[0.04],[0.05],[0.],[-0.],[-0.],[-0.],[0.],[-1.25],[0.],[-1.25],[0.74],[0.54],[0.14],[0.23],[-1.6],[-0.72],[4.53],[3.9],[0.],[0.],[0.],[0.],[0.],[0.],[625.85],[0.],[-0.5],[-0.1],[-52.77],[-52.73],[10.65],[11.1],[-25.58],[-25.66],[-37297.],[65113.],[-648.],[-1746.],[6101952.],[2073442.],[6768895.],[2785843.]
161,[10.358],[10.331],[0.08],[0.1],[0.01],[0.],[-0.01],[-0.],[-0.13],[-0.05],[-0.06],[-0.04],[0.],[-0.],[-0.],[-0.],[-0.],[-1.25],[-0.],[-1.25],[0.74],[0.97],[0.1],[-0.18],[-0.34],[-0.72],[3.25],[3.9],[0.],[0.],[0.],[0.],[0.],[0.],[638.12],[0.],[-0.52],[-0.1],[-52.77],[-52.73],[10.46],[11.1],[-25.58],[-25.64],[-37487.],[65315.],[-714.],[-1746.],[6101381.],[2073442.],[6768913.],[2785843.]
162,[10.407],[10.384],[0.04],[0.11],[0.01],[-0.],[-0.],[-0.],[0.14],[0.09],[-0.04],[-0.04],[0.],[-0.],[-0.],[-0.],[0.],[-1.25],[0.],[-1.25],[-0.94],[-0.53],[0.43],[0.69],[-3.48],[-4.11],[0.8],[1.25],[0.],[0.],[0.],[0.],[0.],[0.],[650.88],[0.],[-0.53],[-0.1],[-52.75],[-52.73],[10.39],[11.1],[-25.58],[-25.57],[-37515.],[65558.],[-688.],[-1746.],[6100880.],[2073442.],[6768926.],[2785843.]
163,[10.456],[10.433],[0.07],[0.1],[0.03],[-0.],[0.01],[0.01],[-0.01],[0.04],[-0.04],[-0.05],[0.],[-0.],[-0.],[-0.],[-0.03],[-1.25],[-0.03],[-1.25],[-0.02],[-0.53],[0.45],[0.69],[-4.19],[-4.11],[-1.08],[1.25],[0.],[0.],[0.],[0.],[0.],[0.],[0.02],[0.],[-0.49],[-0.1],[-52.76],[-52.73],[10.51],[11.1],[-25.58],[-25.6],[-37489.],[65869.],[-734.],[-1746.],[6100430.],[2073442.],[6768927.],[2785843.]
164,[10.509],[10.483],[0.07],[0.14],[-0.07],[-0.01],[-0.01],[-0.01],[0.],[0.04],[-0.04],[-0.01],[-0.],[-0.],[0.],[-0.],[0.],[-1.25],[0.],[-1.25],[0.35],[0.73],[1.14],[0.69],[-10.5],[-4.11],[1.57],[1.25],[0.],[0.],[0.],[0.],[650.88],[0.],[650.88],[0.],[-0.54],[-0.1],[-52.75],[-52.73],[10.64],[11.1],[-25.58],[-25.78],[-37403.],[66177.],[-801.],[-1863.],[6100112.],[2073442.],[6768931.],[2785843.]
165,[10.559],[10.536],[0.05],[0.12],[-0.08],[-0.01],[-0.01],[0.],[-0.01],[0.04],[-0.04],[-0.02],[0.],[-0.],[-0.],[-0.],[0.03],[-1.25],[0.03],[-1.25],[0.83],[0.73],[1.32],[0.69],[-3.28],[-4.11],[-0.03],[0.6],[0.],[0.],[0.],[0.],[0.],[0.],[650.88],[0.],[-0.54],[-0.1],[-52.75],[-52.73],[11.03],[11.1],[-25.58],[-25.56],[-37341.],[66465.],[-875.],[-1902.],[6099991.],[2073442.],[6768927.],[2785843.]
166,[10.608],[10.584],[0.09],[0.12],[0.1],[-0.01],[-0.01],[-0.],[-0.05],[0.2],[-0.04],[-0.07],[0.],[-0.],[0.],[-0.],[0.],[-1.25],[0.],[-1.25],[2.23],[-0.13],[0.69],[0.69],[-3.83],[-4.11],[0.02],[0.6],[0.],[0.],[0.],[0.],[0.],[0.],[664.16],[0.],[-0.52],[-0.1],[-52.75],[-52.73],[11.44],[11.1],[-25.58],[-25.65],[-37341.],[66960.],[-931.],[-1971.],[6099990.],[2073442.],[6768926.],[2785843.]
167,[10.661],[10.634],[0.07],[0.1],[-0.29],[-0.01],[-0.01],[-0.],[-0.23],[0.11],[-0.14],[-0.24],[0.],[-0.],[0.],[-0.],[0.],[-1.25],[0.],[-1.25],[-1.37],[-1.28],[0.69],[0.61],[-3.8],[-4.11],[0.37],[0.6],[0.],[0.],[0.],[0.],[650.88],[0.],[638.12],[0.],[-0.48],[-0.1],[-52.74],[-52.73],[11.69],[11.1],[-25.58],[-25.67],[-37329.],[67314.],[-978.],[-2045.],[6099990.],[2073442.],[6768926.],[2785843.]
168,[10.711],[10.687],[0.08],[0.1],[-0.58],[-0.01],[-0.01],[-0.01],[0.9],[0.62],[0.22],[0.38],[0.],[-0.],[0.],[-0.],[-0.03],[-1.25],[-0.03],[-1.25],[-5.39],[-4.09],[6.41],[4.11],[-4.24],[-4.11],[0.63],[0.6],[0.],[0.],[0.],[0.],[0.],[0.],[650.88],[0.],[-0.37],[-0.1],[-52.75],[-52.73],[11.66],[11.1],[-25.58],[-25.55],[-37326.],[67524.],[-1003.],[-2125.],[6099990.],[2073442.],[6768925.],[2785843.]
169,[10.759],[10.736],[0.07],[0.1],[-0.9],[-0.01],[0.02],[0.03],[-0.14],[-0.25],[-0.11],[-0.22],[0.],[-0.],[0.],[-0.],[-0.05],[-1.25],[-0.05],[-1.25],[-0.42],[-4.09],[32.73],[7.86],[-6.81],[-6.67],[0.14],[0.6],[0.],[0.],[0.],[0.],[0.],[0.],[651.52],[0.],[-0.44],[-0.1],[-52.76],[-52.73],[11.47],[11.1],[-25.36],[-25.44],[-37315.],[67584.],[-999.],[-2177.],[6099990.],[2073442.],[6768925.],[2785843.]
170,[10.809],[10.79],[0.1],[0.1],[-0.34],[-0.01],[-0.01],[-0.01],[0.18],[-0.01],[-0.01],[-0.07],[0.],[-0.],[0.],[-0.],[-1.16],[-1.25],[-1.16],[-1.25],[-15.06],[-13.35],[53.44],[66.79],[-6.81],[-2.43],[2.31],[0.6],[0.],[0.],[0.],[0.],[-0.84],[0.],[650.88],[0.],[-0.71],[-0.1],[-52.78],[-52.73],[11.45],[11.1],[-25.36],[-25.3],[-37311.],[67585.],[-986.],[-2219.],[6099992.],[2073442.],[6768925.],[2785843.]
171,[10.862],[10.839],[0.08],[0.1],[-0.04],[-0.01],[-0.01],[-0.01],[0.21],[0.33],[0.19],[-0.07],[0.],[-0.],[0.],[-0.],[-1.16],[-1.25],[-1.16],[-1.25],[-44.13],[-39.16],[58.8],[66.79],[-18.06],[-0.32],[2.61],[-0.41],[0.],[0.],[0.],[0.],[664.16],[0.],[650.88],[0.],[-0.73],[-0.1],[-52.78],[-52.73],[11.46],[11.1],[-25.14],[-25.22],[-37310.],[67585.],[-958.],[-2240.],[6099992.],[2073442.],[6768925.],[2785843.]
172,[10.911],[10.888],[0.1],[0.1],[0.3],[0.01],[-0.],[-0.01],[0.17],[0.38],[0.05],[-0.07],[0.],[-0.],[0.],[-0.],[-0.01],[-1.25],[0.],[-1.25],[-88.93],[-101.4],[66.],[66.79],[27.76],[9.6],[-3.48],[-3.96],[0.],[0.],[0.],[0.],[638.12],[0.],[650.88],[0.],[-1.49],[-2.13],[-52.78],[-52.73],[11.39],[11.1],[-24.97],[-25.05],[-37310.],[67587.],[-936.],[-2247.],[6099993.],[2073442.],[6768924.],[2785843.]
173,[10.961],[10.941],[0.07],[0.1],[1.19],[0.01],[0.01],[0.02],[0.06],[0.03],[0.01],[-0.07],[0.],[-0.],[0.],[-0.],[0.],[-1.25],[-0.],[-1.25],[-106.42],[-101.4],[69.14],[79.57],[20.83],[15.13],[-1.45],[-3.96],[0.],[0.],[0.],[0.],[650.88],[0.],[0.],[0.],[-3.69],[-2.13],[-52.77],[-52.73],[11.54],[11.1],[-24.93],[-25.05],[-37308.],[67588.],[-911.],[-2232.],[6100010.],[2073442.],[6768921.],[2785843.]
174,[11.014],[10.99],[0.05],[0.1],[0.74],[0.01],[0.],[-0.],[0.05],[0.03],[0.06],[-0.07],[0.],[-0.],[0.],[-0.],[-0.],[-1.25],[-0.],[-1.25],[-108.67],[-101.4],[69.14],[62.15],[30.01],[46.36],[-4.7],[-3.96],[0.],[0.],[0.],[0.],[638.12],[0.],[0.],[0.],[-8.14],[-7.41],[-52.77],[-52.73],[11.69],[11.1],[-24.99],[-25.05],[-37300.],[67588.],[-881.],[-2227.],[6100043.],[2073442.],[6768919.],[2785843.]
175,[11.063],[11.039],[0.08],[0.1],[-0.08],[0.],[0.01],[-0.],[-0.2],[-0.26],[-0.17],[-0.18],[0.],[-0.],[0.],[-0.],[-0.],[-1.25],[0.],[-1.25],[-92.84],[-99.52],[22.86],[41.45],[30.01],[34.09],[-6.65],[-3.96],[0.],[0.],[0.],[0.],[650.88],[0.],[0.],[0.],[-13.57],[-12.58],[-52.77],[-52.73],[11.74],[11.1],[-24.91],[-25.05],[-37297.],[67601.],[-867.],[-2300.],[6100085.],[2073442.],[6768922.],[2785843.]
176,[11.111],[11.093],[0.09],[0.1],[0.01],[0.],[0.],[-0.],[-0.31],[-0.34],[0.1],[0.43],[0.],[-0.],[0.],[-0.],[0.],[-1.25],[-0.],[-1.25],[-31.03],[-45.87],[22.86],[24.31],[40.36],[33.56],[-13.8],[-16.01],[0.],[0.],[0.],[0.],[650.88],[0.],[0.],[0.],[-13.57],[-14.97],[-52.76],[-52.73],[11.68],[11.1],[-24.91],[-25.05],[-37295.],[67677.],[-865.],[-2460.],[6100098.],[2073442.],[6768922.],[2785843.]
177,[11.161],[11.142],[0.07],[0.1],[0.01],[0.01],[-0.01],[-0.],[-0.31],[-0.48],[0.1],[-0.02],[0.],[-0.],[0.],[-0.],[0.],[-1.25],[-0.],[-1.25],[-31.03],[-34.82],[22.86],[22.16],[48.64],[50.68],[-2.96],[3.53],[0.],[0.],[0.],[0.],[0.],[0.],[650.88],[0.],[-19.33],[-16.74],[-52.76],[-52.73],[11.63],[11.1],[-24.91],[-25.05],[-37290.],[67746.],[-850.],[-2560.],[6100098.],[2073442.],[6768922.],[2785843.]
178,[11.214],[11.195],[0.07],[0.1],[-0.03],[-0.01],[0.11],[0.07],[-0.31],[-0.38],[-0.17],[-0.19],[0.],[-0.],[0.],[-0.],[0.01],[-1.25],[0.],[-1.25],[-31.03],[-43.11],[22.86],[41.41],[51.51],[50.68],[-8.69],[-7.37],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[-19.33],[-19.03],[-52.75],[-52.73],[11.58],[11.1],[-24.89],[-24.75],[-37283.],[67851.],[-834.],[-2591.],[6100095.],[2073442.],[6768919.],[2785843.]
179,[11.268],[11.245],[0.09],[0.1],[-0.02],[-0.01],[0.11],[0.08],[-0.28],[-0.28],[0.02],[0.22],[0.],[-0.],[0.],[-0.],[0.01],[-1.25],[-0.],[-1.25],[-31.03],[-41.83],[22.86],[39.33],[53.9],[70.33],[-9.27],[-11.12],[0.],[0.],[0.],[0.],[650.88],[0.],[0.],[0.],[-19.33],[-21.2],[-52.77],[-52.73],[11.61],[11.1],[-24.86],[-24.75],[-37277.],[68018.],[-835.],[-2588.],[6100087.],[2073442.],[6768919.],[2785843.]
180,[11.268],[11.294],[0.1],[0.1],[0.02],[0.01],[0.53],[1.13],[-0.12],[-0.18],[0.13],[0.22],[0.],[-0.],[0.],[-0.],[0.],[-1.25],[0.],[-1.25],[-31.03],[-40.87],[22.86],[31.44],[53.9],[72.03],[-9.27],[-20.],[0.],[0.],[0.],[0.],[625.85],[0.],[650.88],[0.],[-24.25],[-23.33],[-52.75],[-52.73],[11.62],[11.1],[-24.85],[-24.75],[-37276.],[68228.],[-836.],[-2575.],[6100069.],[2073442.],[6768919.],[2785843.]
181,[11.321],[11.346],[0.1],[0.1],[0.07],[0.01],[0.41],[0.25],[-0.02],[-0.18],[0.06],[-0.],[0.],[-0.],[0.],[-0.],[0.],[-1.25],[0.],[-1.25],[-31.03],[-23.32],[22.86],[28.47],[53.9],[58.84],[0.29],[1.76],[0.],[0.],[0.],[0.],[650.88],[0.],[0.],[0.],[-24.25],[-24.52],[-52.77],[-52.73],[11.55],[11.1],[-24.74],[-24.75],[-37275.],[68581.],[-826.],[-2575.],[6100057.],[2073442.],[6768920.],[2785843.]
182,[11.374],[11.395],[0.07],[0.1],[0.07],[0.01],[0.1],[0.25],[0.08],[-0.18],[0.03],[-0.],[0.],[-0.],[0.],[-0.],[0.],[-1.25],[0.],[-1.25],[7.68],[-8.78],[2.38],[9.29],[43.48],[40.83],[2.84],[1.76],[0.],[0.],[0.],[0.],[650.88],[0.],[0.],[0.],[-24.25],[-24.97],[-52.77],[-52.73],[11.44],[11.1],[-24.61],[-24.56],[-37275.],[69077.],[-824.],[-2575.],[6100038.],[2073442.],[6768921.],[2785843.]
183,[11.423],[11.445],[0.08],[0.1],[-0.07],[-0.01],[0.14],[0.25],[-0.14],[-0.18],[0.1],[0.16],[0.],[-0.],[0.],[-0.],[0.],[-1.25],[0.],[-1.25],[3.31],[-7.65],[2.61],[4.17],[27.18],[15.86],[3.57],[1.76],[0.],[0.],[0.],[0.],[651.52],[0.],[0.04],[0.],[-25.86],[-25.38],[-52.77],[-52.73],[11.4],[11.1],[-24.61],[-24.49],[-37275.],[69616.],[-822.],[-2576.],[6099982.],[2073442.],[6768923.],[2785843.]
184,[11.476],[11.498],[0.09],[0.1],[0.07],[-0.01],[0.06],[0.25],[-0.15],[-0.18],[-0.08],[-0.1],[0.],[-0.],[0.],[-0.],[0.],[-1.25],[0.],[-1.25],[3.68],[-3.47],[2.61],[0.34],[12.85],[15.86],[6.71],[1.76],[0.],[0.],[0.],[0.],[650.88],[0.],[664.16],[0.],[-25.86],[-25.56],[-52.77],[-52.73],[11.31],[11.1],[-24.61],[-24.46],[-37275.],[69919.],[-822.],[-2560.],[6099888.],[2073442.],[6768928.],[2785843.]
185,[11.525],[11.548],[0.1],[0.1],[-0.07],[-0.01],[-0.89],[-0.34],[-0.01],[0.15],[0.02],[0.23],[0.],[-0.],[0.],[-0.],[-0.],[-1.25],[0.],[-1.25],[1.9],[-4.89],[11.53],[8.86],[6.69],[-3.7],[-2.17],[0.65],[0.],[0.],[0.],[0.],[650.88],[0.],[638.12],[0.],[-25.86],[-25.81],[-52.78],[-52.73],[11.22],[11.1],[-24.61],[-24.49],[-37273.],[69982.],[-822.],[-2542.],[6099708.],[2073442.],[6768937.],[2785843.]
186,[11.578],[11.601],[0.11],[0.1],[-0.02],[-0.01],[-0.39],[-0.4],[-0.05],[0.25],[0.02],[0.02],[0.],[-0.],[0.],[-0.],[-0.],[-1.25],[0.],[-1.25],[0.68],[-8.99],[13.85],[10.78],[5.8],[-17.98],[3.37],[0.65],[0.],[0.],[0.],[0.],[638.12],[0.],[650.88],[0.],[-25.86],[-26.27],[-52.81],[-52.73],[11.15],[11.1],[-24.78],[-24.69],[-37273.],[69991.],[-822.],[-2539.],[6132460.],[2073442.],[6801689.],[2785843.]
187,[11.628],[11.65],[0.1],[0.1],[-0.01],[-0.01],[-0.39],[-0.34],[0.05],[0.1],[0.02],[-0.02],[0.],[-0.],[0.],[-0.],[0.],[-1.25],[-0.],[-1.25],[0.68],[-8.61],[21.48],[27.71],[5.8],[-27.38],[-5.73],[-8.65],[0.],[0.],[0.],[0.],[638.12],[0.],[638.12],[0.],[-25.86],[-26.7],[-52.8],[-52.73],[11.11],[11.1],[-24.86],[-24.69],[-37274.],[69999.],[-822.],[-2535.],[6132262.],[2073442.],[6801691.],[2785843.]
188,[11.677],[11.698],[0.08],[0.1],[-0.02],[-0.01],[0.],[-0.04],[0.05],[0.13],[-0.09],[-0.25],[0.],[-0.],[0.],[-0.],[0.],[-1.25],[0.],[-1.25],[0.68],[-29.79],[21.59],[27.71],[5.8],[-19.28],[-4.47],[-8.65],[0.],[0.],[0.],[0.],[650.88],[0.],[650.88],[0.],[-25.86],[-28.22],[-52.82],[-52.73],[11.21],[11.1],[-25.09],[-25.49],[-37274.],[70005.],[-822.],[-2534.],[6132262.],[2073442.],[6801691.],[2785843.]
189,[11.73],[11.752],[0.07],[0.1],[0.01],[-0.],[0.18],[0.37],[0.05],[0.02],[-0.04],[-0.07],[0.],[-0.],[0.],[-0.],[0.],[-1.25],[0.],[-1.25],[1.68],[-8.07],[21.64],[27.71],[5.8],[-6.35],[2.23],[2.88],[0.],[0.],[0.],[0.],[650.88],[0.],[650.88],[0.],[-25.86],[-28.63],[-52.81],[-52.73],[11.27],[11.1],[-25.42],[-25.31],[-37273.],[70014.],[-821.],[-2534.],[6132262.],[2073442.],[6801691.],[2785843.]
190,[11.78],[11.801],[0.09],[0.1],[0.01],[0.01],[0.05],[-0.04],[-0.11],[-0.05],[-0.05],[-0.07],[0.],[-0.],[0.],[-0.],[-0.],[-1.25],[-0.],[-1.25],[5.3],[8.82],[20.95],[27.71],[5.8],[-1.26],[2.23],[2.62],[0.],[0.],[0.],[0.],[650.88],[0.],[0.],[0.],[-25.86],[-28.18],[-52.81],[-52.73],[11.27],[11.1],[-25.42],[-25.67],[-37273.],[70015.],[-779.],[-2532.],[6132262.],[2073442.],[6801691.],[2785843.]
191,[11.833],[11.854],[0.1],[0.1],[-0.01],[-0.01],[0.15],[-0.04],[0.07],[0.],[-0.07],[-0.07],[0.],[-0.],[0.],[-0.],[-0.],[-1.25],[-0.],[-1.25],[8.96],[8.82],[16.74],[11.89],[5.8],[5.22],[5.54],[10.92],[0.],[0.],[0.],[0.],[638.12],[0.],[0.],[0.],[-25.86],[-27.91],[-52.8],[-52.73],[11.25],[11.1],[-26.11],[-26.25],[-37273.],[70015.],[-764.],[-2524.],[6164806.],[2073442.],[6834235.],[2785843.]
192,[11.881],[11.904],[0.09],[0.1],[0.03],[0.01],[0.],[-0.04],[0.09],[0.03],[-0.07],[-0.16],[0.],[-0.],[0.],[-0.],[-0.],[-1.25],[-0.],[-1.25],[5.55],[8.82],[13.73],[11.89],[5.8],[6.12],[7.05],[5.95],[0.],[0.],[0.],[0.],[614.04],[0.],[650.88],[0.],[-25.86],[-28.03],[-52.82],[-52.73],[11.16],[11.1],[-26.26],[-26.25],[-37272.],[70016.],[-764.],[-2524.],[6164806.],[2073442.],[6834235.],[2785843.]
193,[11.935],[11.953],[0.09],[0.1],[-0.03],[-0.03],[0.],[-0.04],[0.08],[0.06],[-0.07],[-0.09],[0.],[-0.],[0.],[-0.],[-0.],[-1.25],[0.],[-1.25],[9.09],[8.82],[13.69],[11.89],[5.8],[3.33],[12.35],[17.58],[0.],[0.],[0.],[0.],[0.],[0.],[625.85],[0.],[-25.86],[-28.04],[-52.83],[-52.73],[11.15],[11.1],[-26.7],[-26.25],[-37274.],[70021.],[-761.],[-2522.],[6164806.],[2073442.],[6834235.],[2785843.]
194,[11.984],[12.002],[0.1],[0.1],[-0.02],[-0.03],[-0.01],[-0.04],[-0.02],[-0.04],[-0.],[0.17],[0.],[-0.],[0.],[-0.],[-0.],[-1.25],[0.],[-1.25],[5.38],[5.29],[12.94],[11.89],[5.8],[3.57],[12.35],[18.87],[0.],[0.],[0.],[0.],[0.],[0.],[650.88],[0.],[-25.86],[-28.1],[-52.82],[-52.73],[10.97],[11.1],[-27.17],[-27.25],[-37277.],[70025.],[-762.],[-2522.],[6164806.],[2073442.],[6834235.],[2785843.]
195,[12.033],[12.056],[0.11],[0.1],[-0.01],[-0.03],[-0.08],[-0.15],[-0.02],[-0.04],[0.03],[0.05],[0.],[-0.],[0.],[-0.],[0.],[-1.25],[0.],[-1.25],[4.13],[-2.26],[2.83],[-3.64],[5.8],[5.19],[12.35],[17.87],[0.],[0.],[0.],[0.],[0.],[0.],[650.88],[0.],[-25.86],[-28.14],[-52.85],[-52.73],[10.76],[11.1],[-27.15],[-27.16],[-37276.],[70028.],[-765.],[-2523.],[6164806.],[2073442.],[6834235.],[2785843.]
196,[12.083],[12.104],[0.1],[0.1],[-0.02],[-0.03],[-0.08],[-0.06],[-0.05],[-0.16],[0.11],[0.07],[0.],[-0.],[0.],[-0.],[-0.],[-1.25],[0.],[-1.25],[3.65],[-0.16],[2.41],[-2.06],[9.63],[8.1],[8.06],[4.71],[0.],[0.],[0.],[0.],[-6.6],[0.],[651.52],[0.],[-25.86],[-27.92],[-52.81],[-52.73],[10.24],[11.1],[-27.15],[-27.12],[-37276.],[70036.],[-764.],[-2525.],[6164806.],[2073442.],[6834235.],[2785843.]
197,[12.136],[12.157],[0.09],[0.1],[0.01],[0.01],[-0.08],[-0.36],[-0.05],[-0.05],[0.11],[0.06],[0.],[-0.],[0.],[-0.],[-0.],[-1.25],[0.],[-1.25],[3.65],[-1.35],[4.44],[1.1],[2.64],[6.34],[8.82],[4.71],[0.],[0.],[0.],[0.],[-10.35],[0.],[650.88],[0.],[-25.86],[-27.92],[-52.81],[-52.73],[10.07],[11.1],[-27.15],[-27.56],[-37271.],[70070.],[-758.],[-2525.],[6164806.],[2073442.],[6834235.],[2785843.]
198,[12.185],[12.207],[0.1],[0.1],[0.],[-0.],[-0.08],[-0.1],[-0.02],[-0.16],[-0.02],[-0.06],[0.],[-0.],[0.],[-0.],[-0.],[-1.25],[0.],[-1.25],[3.65],[-0.61],[6.06],[-0.26],[-4.81],[-1.96],[4.05],[4.71],[0.],[0.],[0.],[0.],[-10.29],[0.],[650.88],[0.],[-25.86],[-27.62],[-52.8],[-52.73],[9.88],[11.1],[-27.15],[-27.41],[-37267.],[70130.],[-758.],[-2517.],[6164806.],[2073442.],[6834235.],[2785843.]
199,[12.233],[12.256],[0.09],[0.1],[0.],[0.],[-0.08],[-0.08],[0.04],[0.03],[-0.02],[-0.08],[0.],[-0.],[0.],[-0.],[-0.],[-1.25],[0.],[-1.25],[3.65],[4.3],[6.31],[2.21],[-5.23],[-4.51],[1.92],[1.29],[0.],[0.],[0.],[0.],[-11.18],[0.],[638.12],[0.],[-25.86],[-27.44],[-52.78],[-52.73],[9.69],[11.1],[-27.01],[-27.27],[-37265.],[70187.],[-759.],[-2507.],[6164806.],[2073442.],[6834235.],[2785843.]
200,[12.283],[12.305],[0.11],[0.12],[0.],[0.],[-0.06],[-0.08],[0.04],[0.03],[0.01],[0.03],[0.],[-0.],[0.],[-0.],[1.27],[-1.25],[1.26],[-1.25],[3.65],[4.3],[5.26],[2.21],[-7.85],[-4.51],[-0.62],[1.29],[0.],[0.],[0.],[0.],[-11.2],[0.],[638.12],[0.],[-25.86],[-27.32],[-52.76],[-52.73],[9.47],[11.1],[-26.83],[-26.7],[-37267.],[70198.],[-768.],[-2507.],[6164806.],[2073442.],[6834234.],[2785843.]
201,[12.336],[12.359],[0.11],[0.12],[0.02],[0.],[-0.],[0.17],[0.04],[0.05],[-0.02],[0.03],[0.],[-0.],[0.],[-0.],[-1.27],[-1.25],[-1.26],[-1.25],[3.65],[5.83],[3.],[2.21],[-5.39],[-4.51],[-4.32],[-7.01],[0.],[0.],[0.],[0.],[-9.82],[0.],[650.88],[0.],[-25.86],[-27.25],[-52.7],[-52.7],[9.13],[11.1],[-26.5],[-26.7],[-37271.],[70222.],[-770.],[-2507.],[6164806.],[2073442.],[6834234.],[2785843.]
202,[12.385],[12.408],[0.1],[0.11],[-0.01],[0.],[-0.],[0.04],[0.04],[0.08],[0.03],[0.03],[0.],[-0.],[0.],[-0.],[0.01],[-1.25],[-0.],[-1.25],[3.65],[3.48],[0.89],[0.96],[-10.81],[-12.76],[-4.57],[-11.85],[0.],[0.],[0.],[0.],[-9.],[0.],[650.88],[0.],[-25.86],[-27.19],[-52.7],[-52.69],[8.23],[11.1],[-26.61],[-26.7],[-37285.],[70241.],[-774.],[-2511.],[6164817.],[2073442.],[6834234.],[2785843.]
203,[12.435],[12.46],[0.1],[0.12],[-0.01],[0.],[-0.01],[0.33],[0.02],[0.02],[0.04],[0.14],[0.],[-0.],[0.],[-0.],[0.01],[-1.25],[-0.],[-1.25],[2.51],[2.43],[0.89],[0.96],[-10.81],[-11.19],[-3.03],[-3.22],[0.],[0.],[0.],[0.],[-6.24],[0.],[650.88],[0.],[-25.86],[-27.09],[-52.7],[-52.7],[9.65],[11.1],[-26.43],[-26.7],[-37509.],[70241.],[-783.],[-2516.],[6164816.],[2073442.],[6866778.],[2785843.]
204,[12.488],[12.514],[0.1],[0.11],[-0.],[0.],[-0.21],[-0.31],[0.05],[0.07],[0.04],[0.1],[0.],[-0.],[0.],[-0.],[0.01],[-1.25],[-0.],[-1.25],[2.51],[1.33],[-0.65],[-1.08],[-10.81],[-11.19],[2.29],[-0.42],[0.],[0.],[0.],[0.],[-2.37],[0.],[638.12],[0.],[-25.86],[-26.99],[-52.7],[-52.67],[10.71],[11.1],[-26.73],[-26.7],[-38054.],[70241.],[-753.],[-2518.],[6164950.],[2073442.],[6866776.],[2785843.]
205,[12.537],[12.514],[0.09],[0.09],[0.01],[0.01],[-0.21],[-0.3],[0.05],[0.04],[-0.],[-0.],[0.],[-0.],[0.],[-0.],[0.01],[-1.25],[-0.],[-1.25],[2.51],[1.26],[-0.65],[-1.08],[-7.2],[-8.5],[1.43],[-0.42],[0.],[0.],[0.],[0.],[-0.02],[0.],[614.04],[0.],[-25.86],[-26.85],[-52.63],[-52.63],[12.21],[11.88],[-26.97],[-26.7],[-38504.],[70246.],[-724.],[-2519.],[6165212.],[2073442.],[6866774.],[2785843.]
