,Ref_task1_Time,User_task1_Time,Ref_task1_Force,User_task1_Force,Ref_task1_L_pitchAcc,User_task1_L_pitchAcc,Ref_task1_L_yawAcc,User_task1_L_yawAcc,Ref_task1_L_surgeAcc,User_task1_L_surgeAcc,Ref_task1_L_rollAcc,User_task1_L_rollAcc,Ref_task1_L_pitchVel,User_task1_L_pitchVel,Ref_task1_L_yawVel,User_task1_L_yawVel,Ref_task1_L_surgeVel,User_task1_L_surgeVel,Ref_task1_L_rollVel,User_task1_L_rollVel,Ref_task1_L_pitch,User_task1_L_pitch,Ref_task1_L_yaw,User_task1_L_yaw,Ref_task1_L_surge,User_task1_L_surge,Ref_task1_L_roll,User_task1_L_roll,Ref_task1_L_x,User_task1_L_x,Ref_task1_L_y,User_task1_L_y,Ref_task1_L_z,User_task1_L_z,Ref_task1_L_motion,User_task1_L_motion,Ref_task1_R_pitchAcc,User_task1_R_pitchAcc,Ref_task1_R_yawAcc,User_task1_R_yawAcc,Ref_task1_R_surgeAcc,User_task1_R_surgeAcc,Ref_task1_R_rollAcc,User_task1_R_rollAcc,Ref_task1_R_pitchVel,User_task1_R_pitchVel,Ref_task1_R_yawVel,User_task1_R_yawVel,Ref_task1_R_surgeVel,User_task1_R_surgeVel,Ref_task1_R_rollVel,User_task1_R_rollVel
681,,,[0.],[0.],[-0.04],[-0.01],,,[-0.07],[-0.01],[-0.03],[-0.01],[0.],[-0.02],[-0.],[-0.],[0.02],[0.03],[-0.],[-0.],[-2.89],[-2.47],[-1.08],[-0.04],[-0.32],[-0.25],[-0.61],[0.33],[0.02],[0.07],[0.18],[0.16],[-0.38],[0.52],[0.],[0.],[-9.54],[-9.44],[-27.61],[-27.08],[16.79],[19.27],[-18.78],[-26.12],,,,,[-19874.],[-19766.],[-798.],[-713.]
682,,,[0.],[0.],[-0.],[0.],,,[-0.01],[-0.01],[0.05],[0.01],[0.],[-0.],[-0.],[0.],[0.02],[0.03],[0.01],[0.01],[-2.89],[-2.52],[-1.55],[-1.31],[-0.32],[-0.63],[-1.26],[0.37],[0.02],[0.9],[-0.05],[-0.07],[-0.49],[0.03],[-0.17],[-0.18],[-9.61],[-9.44],[-27.79],[-28.23],[16.71],[19.28],[-18.39],[-26.1],,,,,[-19874.],[-19991.],[-798.],[-715.]
683,,,[0.],[0.],[-0.01],[0.],,,[0.14],[0.],[-0.02],[0.],[0.],[-0.],[-0.],[0.],[0.04],[0.03],[0.01],[0.01],[-2.89],[-4.26],[-5.55],[-1.31],[-0.32],[-1.05],[-0.4],[0.31],[0.02],[-0.16],[0.1],[0.1],[-10.39],[0.],[-0.18],[-0.18],[-9.65],[-9.44],[-27.74],[-28.23],[16.59],[19.29],[-17.97],[-26.11],,,,,[-18510.],[-20234.],[-798.],[-718.]
684,,,[0.],[0.],[0.03],[0.02],,,[0.16],[0.],[0.01],[0.],[0.],[-0.],[-0.],[0.],[-0.01],[0.01],[0.01],[-0.],[-2.89],[-9.7],[-4.25],[-1.31],[-0.32],[-0.95],[1.59],[0.73],[0.02],[-0.23],[0.2],[0.1],[-17.98],[0.],[-0.18],[-0.1],[-9.74],[-9.44],[-27.58],[-28.23],[16.46],[19.31],[-17.32],[-26.1],,,,,[-18162.],[-20401.],[-798.],[-716.]
685,,,[0.],[0.],[0.01],[0.02],,,[-0.18],[-0.01],[-0.06],[-0.01],[0.],[-0.],[-0.],[-0.],[-0.01],[-0.01],[-0.02],[-0.01],[-2.89],[-13.6],[-2.39],[-1.31],[-0.32],[-0.06],[1.2],[0.73],[0.02],[0.02],[0.1],[0.1],[-16.07],[0.],[0.07],[0.],[-9.64],[-9.44],[-27.75],[-28.23],[16.3],[19.24],[-16.55],[-26.06],,,,,[-18146.],[-20589.],[-798.],[-720.]
686,,,[0.],[0.],[-0.02],[-0.01],,,[0.11],[0.01],,,[0.],[-0.01],[-0.],[-0.],[-0.03],[-0.02],[0.02],[-0.],[-2.89],[-10.74],[1.87],[-0.27],[-0.32],[-0.02],[0.45],[0.53],[0.02],[0.26],[-0.08],[0.],[-8.82],[0.],[0.02],[0.],[-9.63],[-9.44],[-28.08],[-28.23],[16.32],[19.09],[-16.27],[-25.97],,,,,[-17847.],[-20702.],[-798.],[-721.]
687,,,[0.],[0.],[-0.05],[-0.01],,,[0.02],[0.01],,,[0.],[-0.03],[-0.],[-0.],[-0.05],[-0.02],[-0.],[-0.],[-2.89],[-11.09],[1.91],[-0.27],[-0.32],[0.37],[0.45],[0.31],[0.02],[1.23],[-0.08],[-0.07],[-9.48],[0.13],[-0.12],[-0.07],[-9.8],[-10.1],[-28.15],[-28.23],[16.34],[19.06],[-16.02],[-25.88],,,,,[-17101.],[-20996.],[-798.],[-722.]
688,,,[0.],[0.],[0.1],[-0.01],,,[0.01],[0.01],,,[0.],[0.01],[-0.],[-0.],[-0.],[-0.01],[-0.],[-0.],[-2.89],[-7.26],[18.84],[-0.27],[-2.53],[-0.24],[0.45],[-0.16],[0.02],[-0.25],[-0.08],[-0.08],[-7.15],[-0.15],[-0.11],[-0.07],[-9.91],[-10.78],[-28.48],[-28.23],[16.28],[19.19],[-15.77],[-25.82],,,,,[-16139.],[-21217.],[-798.],[-698.]
689,,,[0.],[0.],[0.07],[-0.01],,,[0.01],[-0.],,,[0.],[-0.01],[-0.],[0.],[-0.02],[-0.01],[-0.],[-0.],[-2.89],[-2.14],[8.88],[-0.27],[11.06],[1.64],[-1.57],[0.11],[0.02],[-0.02],[0.08],[-0.13],[-0.05],[-0.15],[0.],[0.],[-9.91],[-11.22],[-28.66],[-28.85],[16.17],[19.26],[-15.53],[-25.75],,,,,[-15939.],[-21219.],[-857.],[-682.]
690,,,[0.],[0.],,,,,[-0.08],[-0.01],,,[0.01],[0.02],[-0.],[-0.],[0.02],[-0.],[-0.],[-0.],[-2.89],[-3.73],[5.73],[-0.27],[12.55],[1.64],[1.67],[0.66],[0.02],[-1.16],[0.],[-0.02],[-8.6],[-0.15],[0.],[-0.05],[-9.91],[-11.35],[-28.88],[-28.85],[16.14],[19.23],[-15.52],[-25.69],,,,,[-15393.],[-21040.],[-840.],[-682.]
691,,,[0.],[0.],,,,,[-0.2],[-0.01],,,[0.01],[0.02],[-0.],[0.],[0.04],[-0.],[-0.],[-0.],[-1.69],[0.76],,,[12.36],[1.64],[3.82],[1.53],[0.02],[0.06],[0.05],[-0.02],[-8.37],[0.07],[0.07],[0.13],[-9.91],[-11.58],[-29.58],[-29.38],[16.01],[19.11],[-15.64],[-25.61],,,,,[-14525.],[-20893.],[-887.],[-720.]
