,Ref_task3_Time,User_task3_Time,Ref_task3_Force,User_task3_Force,Ref_task3_L_pitchAcc,User_task3_L_pitchAcc,Ref_task3_L_yawAcc,User_task3_L_yawAcc,Ref_task3_L_surgeAcc,User_task3_L_surgeAcc,Ref_task3_L_rollAcc,User_task3_L_rollAcc,Ref_task3_L_pitchVel,User_task3_L_pitchVel,Ref_task3_L_yawVel,User_task3_L_yawVel,Ref_task3_L_surgeVel,User_task3_L_surgeVel,Ref_task3_L_rollVel,User_task3_L_rollVel,Ref_task3_L_pitch,User_task3_L_pitch,Ref_task3_L_yaw,User_task3_L_yaw,Ref_task3_L_surge,User_task3_L_surge,Ref_task3_L_roll,User_task3_L_roll,Ref_task3_L_x,User_task3_L_x,Ref_task3_L_y,User_task3_L_y,Ref_task3_L_z,User_task3_L_z,Ref_task3_L_motion,User_task3_L_motion,Ref_task3_R_pitchAcc,User_task3_R_pitchAcc,Ref_task3_R_yawAcc,User_task3_R_yawAcc,Ref_task3_R_surgeAcc,User_task3_R_surgeAcc,Ref_task3_R_rollAcc,User_task3_R_rollAcc,Ref_task3_R_pitchVel,User_task3_R_pitchVel,Ref_task3_R_yawVel,User_task3_R_yawVel,Ref_task3_R_surgeVel,User_task3_R_surgeVel,Ref_task3_R_rollVel,User_task3_R_rollVel
10,[50.63777089],[101.17232656],[0.],[0.],[-0.2],[-0.05],[-0.05],[-0.05],[0.],[-0.11],[-0.18],[-0.07],[0.05],[0.05],[0.],[0.],[0.],[-0.03],[-0.01],[-0.02],[2.24],[-3.62],[3.12],[-0.7],[0.51],[-3.37],[5.68],[3.86],[11.73],[11.21],[0.12],[-0.15],[-27.39],[-18.75],[-0.46],[-0.19],[-20.25],[-19.93],[-14.83],[-16.06],[9.67],[15.18],[-17.91],[-17.72],[-97.],[83003.],[154.],[767.],[-28905.],[-55038.],[-1355.],[-750.]
11,[50.69860196],[101.23316741],[0.],[0.],[-0.11],[-0.07],[-0.05],[-0.07],[0.],[0.09],[-0.12],[-0.07],[0.05],[0.04],[0.],[-0.],[0.],[0.],[-0.03],[-0.02],[-9.57],[-6.52],[3.12],[0.35],[0.51],[0.47],[5.68],[6.77],[11.73],[17.12],[0.16],[-0.15],[-34.26],[-18.75],[-0.92],[-0.19],[-20.25],[-20.42],[-14.83],[-15.83],[9.22],[15.18],[-18.04],[-17.72],[-521.],[84030.],[142.],[753.],[-30995.],[-55151.],[-1355.],[-756.]
12,[50.75955868],[101.29503775],[0.],[0.],[-0.19],[-0.07],[0.03],[0.02],[0.],[0.06],[0.25],[0.04],[0.06],[0.1],[0.],[0.],[0.],[0.02],[0.01],[0.03],[-16.06],[-11.16],[4.92],[3.84],[0.51],[2.93],[5.68],[5.32],[11.73],[20.79],[0.08],[-0.15],[-36.24],[-18.75],[0.1],[-0.19],[-20.25],[-20.99],[-14.83],[-15.45],[9.79],[15.18],[-17.3],[-16.13],[-1135.],[85298.],[128.],[744.],[-33278.],[-55168.],[-1355.],[-766.]
13,[50.82141852],[101.35583735],[0.],[0.],[-0.01],[-0.01],[0.03],[0.06],[0.],[0.04],[0.22],[0.05],[0.06],[0.06],[0.],[0.],[0.],[-0.],[-0.01],[-0.01],[-27.63],[-11.79],[6.44],[6.17],[0.51],[0.8],[5.68],[6.5],[11.73],[25.98],[0.41],[-0.15],[-9.38],[-8.08],[-0.16],[-0.19],[-21.96],[-21.21],[-14.83],[-14.94],[12.7],[16.57],[-15.02],[-15.07],[-2345.],[86883.],[53.],[736.],[-33850.],[-55034.],[-1355.],[-786.]
14,[50.88311672],[101.41781545],[0.],[0.],[-0.01],[-0.01],[0.02],[0.04],[0.],[-0.03],[0.42],[0.05],[0.06],[0.09],[0.],[-0.],[-0.28],[-0.03],[0.02],[0.],[-27.98],[-12.41],[6.44],[8.48],[0.51],[-0.68],[3.73],[2.35],[11.73],[25.07],[0.18],[-0.15],[-9.38],[-5.34],[-1.56],[-0.9],[-21.96],[-21.6],[-14.49],[-14.55],[13.79],[17.58],[-13.04],[-13.97],[-3804.],[88387.],[53.],[720.],[-33850.],[-54575.],[-1355.],[-810.]
15,[50.94399762],[101.47851229],[0.],[0.],[-0.01],[0.01],[0.44],[0.04],[0.21],[-0.02],[-0.09],[-0.02],[0.06],[-0.02],[0.],[0.],[-0.16],[0.],[-0.],[0.],[-17.61],[-11.92],[6.44],[6.38],[-6.42],[-4.29],[3.73],[1.21],[11.73],[17.45],[-0.2],[-0.23],[0.87],[-2.65],[-0.82],[-0.9],[-21.96],[-22.3],[-13.63],[-14.06],[14.11],[18.28],[-13.04],[-13.14],[-4979.],[89469.],[52.],[710.],[-33850.],[-53547.],[-1355.],[-795.]
16,[51.00581455],[101.54037309],[0.],[0.],[0.16],[0.06],[-0.16],[-0.04],[-0.11],[-0.06],[-0.01],[0.02],[-0.2],[-0.12],[0.],[0.],[0.21],[0.03],[-0.],[0.],[-7.23],[-8.47],[6.44],[8.02],[-6.42],[-8.],[3.73],[-1.8],[11.73],[16.67],[-0.22],[-0.23],[0.87],[0.28],[-0.87],[-0.9],[-23.07],[-23.],[-13.63],[-13.48],[14.97],[19.04],[-13.04],[-12.62],[-6760.],[90469.],[36.],[705.],[-33850.],[-52276.],[-1355.],[-804.]
17,[51.06676126],[101.60125637],[0.],[0.],[0.17],[0.06],[-0.19],[-0.04],[-0.19],[-0.06],[-0.09],[-0.07],[-0.11],[-0.12],[0.],[0.],[0.05],[0.04],[-0.],[0.],[-7.23],[-7.89],[33.29],[9.66],[-6.42],[-3.94],[3.73],[3.74],[11.73],[16.89],[-1.23],[-0.23],[0.87],[1.],[0.3],[-0.9],[-23.51],[-23.76],[-12.87],[-12.74],[16.55],[19.73],[-13.04],[-12.18],[-8395.],[91516.],[26.],[700.],[-33850.],[-50841.],[-1355.],[-822.]
18,[51.12850761],[101.6531992],[0.],[0.],[0.1],[0.06],[-0.09],[-0.04],[0.17],[0.07],[-0.15],[-0.07],[-0.08],[-0.12],[0.],[0.],[0.05],[0.09],[-0.],[-0.],[-7.23],[-8.61],[23.55],[11.93],[-6.42],[1.52],[4.54],[5.07],[11.73],[13.43],[0.],[-0.15],[-1.43],[-1.05],[-1.57],[-0.97],[-23.56],[-23.76],[-12.49],[-12.74],[17.58],[19.94],[-11.12],[-11.84],[-9647.],[92335.],[12.],[698.],[-33850.],[-48968.],[-1355.],[-855.]
19,[51.18936491],[101.71490645],[0.],[0.],[-0.],[0.01],[-0.05],[-0.04],[0.26],[0.09],[0.01],[-0.02],[-0.04],[-0.01],[0.],[-0.],[0.05],[0.14],[-0.],[-0.],[-7.23],[-10.03],[11.32],[9.17],[-6.42],[-1.43],[4.54],[7.25],[11.73],[10.78],[-0.02],[-0.13],[-1.43],[-1.],[0.82],[-0.84],[-23.61],[-23.76],[-12.1],[-12.18],[17.58],[19.81],[-11.12],[-11.77],[-10563.],[92982.],[-13.],[696.],[-33850.],[-47242.],[-1355.],[-870.]
20,[51.25115442],[101.77574921],[0.],[0.],[-0.],[-0.01],[0.06],[0.03],[0.63],[-0.05],[0.11],[-0.02],[-0.04],[0.],[0.],[0.],[0.05],[0.08],[-0.],[-0.],[-0.79],[-9.82],[5.86],[6.85],[-6.42],[-6.33],[4.54],[8.45],[8.66],[9.36],[-0.26],[-0.27],[-1.43],[-0.02],[0.15],[-0.28],[-23.85],[-23.76],[-11.9],[-11.77],[17.58],[19.65],[-11.12],[-11.53],[-10784.],[93553.],[-23.],[695.],[-33850.],[-46150.],[-1355.],[-906.]
21,[51.31207848],[101.83758259],[0.],[0.],[-0.],[-0.02],[0.02],[0.03],[-0.48],[-0.08],[-0.27],[-0.05],[-0.04],[-0.06],[0.],[-0.],[-0.11],[0.03],[-0.],[-0.],[-0.8],[-7.44],[2.62],[3.53],[-6.42],[-9.35],[4.54],[6.74],[10.63],[11.15],[-0.16],[-0.27],[-1.43],[-0.3],[0.39],[-0.28],[-24.67],[-24.49],[-11.61],[-11.55],[17.58],[19.12],[-11.12],[-11.13],[-10791.],[94233.],[-25.],[692.],[-33850.],[-45247.],[-1355.],[-937.]
22,[51.37379885],[101.89856005],[0.],[0.],[-0.],[0.],[0.02],[0.04],[-0.2],[-0.05],[0.12],[0.09],[-0.04],[-0.04],[0.],[0.],[-0.03],[0.03],[-0.],[0.01],[-3.86],[-9.07],[2.62],[2.74],[-17.91],[-11.44],[4.54],[4.65],[13.89],[14.37],[-0.23],[-0.27],[-1.43],[-2.11],[-1.65],[-1.27],[-24.67],[-25.],[-11.22],[-11.38],[17.58],[18.91],[-11.12],[-10.8],[-10791.],[95124.],[-25.],[692.],[-33850.],[-43866.],[-1355.],[-971.]
23,[51.42466664],[101.96043253],[0.],[0.],[-0.],[0.04],[-0.12],[-0.05],[0.14],[-0.03],[0.04],[0.02],[-0.04],[-0.02],[0.],[0.],[0.44],[0.12],[-0.],[-0.01],[-13.43],[-10.13],[2.62],[3.22],[-7.39],[-5.29],[1.85],[1.62],[13.89],[14.1],[-0.4],[-0.27],[-1.43],[-1.88],[-0.44],[-1.27],[-25.65],[-25.49],[-11.22],[-11.18],[17.58],[18.94],[-11.12],[-10.41],[-10797.],[95984.],[-25.],[700.],[-33850.],[-42135.],[-1355.],[-987.]
24,[51.48664212],[102.02126527],[0.],[0.],[-0.05],[-0.03],[-0.07],[-0.04],[0.14],[0.1],[0.04],[0.04],[-0.04],[0.03],[0.],[0.],[0.17],[0.12],[-0.],[-0.],[-13.43],[-12.11],[2.62],[1.8],[-7.39],[-7.59],[1.85],[-0.66],[13.89],[13.69],[-0.16],[-0.16],[-1.43],[-0.28],[-0.63],[-1.27],[-26.07],[-26.],[-11.22],[-11.07],[17.58],[19.12],[-9.52],[-10.27],[-11131.],[96819.],[-23.],[716.],[-33850.],[-40476.],[-1355.],[-1011.]
25,[51.54747367],[102.08310175],[0.],[0.],[-0.16],[-0.02],[-0.07],[-0.05],[0.14],[-0.04],[0.02],[0.02],[-0.04],[0.05],[0.],[-0.],[-0.04],[-0.03],[-0.],[-0.],[-16.05],[-11.19],[2.62],[0.86],[-7.39],[-2.36],[-9.42],[-4.28],[17.4],[18.51],[-0.03],[-0.08],[-1.43],[2.2],[-2.53],[-1.27],[-26.38],[-26.62],[-11.22],[-11.02],[17.58],[19.17],[-9.52],[-10.19],[-11433.],[97948.],[-24.],[722.],[-33850.],[-39385.],[-1355.],[-1034.]
26,[51.60920262],[102.14401102],[0.],[0.],[-0.04],[-0.03],[0.01],[-0.01],[0.14],[0.09],[-0.14],[-0.03],[-0.04],[-0.],[0.],[-0.],[-0.04],[-0.18],[-0.],[0.],[-6.75],[-5.69],[2.62],[-0.91],[9.19],[7.6],[-17.03],[-4.28],[4.93],[7.68],[-0.03],[-0.08],[-1.43],[7.65],[0.37],[-1.27],[-26.45],[-27.22],[-11.22],[-11.08],[17.58],[19.13],[-9.52],[-10.3],[-11696.],[98424.],[-24.],[722.],[-33850.],[-38710.],[-1355.],[-1021.]
27,[51.67103887],[102.20578384],[0.],[0.],[0.15],[0.02],[0.01],[0.01],[0.2],[0.16],[-0.13],[-0.03],[-0.04],[-0.01],[0.],[-0.],[-0.04],[-0.05],[-0.],[-0.01],[-5.19],[-5.69],[2.62],[1.29],[47.57],[7.6],[-2.07],[-0.53],[4.93],[1.1],[-0.03],[-0.03],[28.65],[16.58],[-0.97],[-1.27],[-26.45],[-27.67],[-11.22],[-11.],[17.58],[18.86],[-9.52],[-10.07],[-11706.],[98489.],[-25.],[724.],[-33850.],[-37851.],[-1355.],[-1013.]
28,[51.73199272],[102.2666378],[0.],[0.],[0.03],[0.02],[0.01],[-0.02],[-0.15],[-0.03],[-0.1],[-0.05],[-0.04],[0.08],[0.],[-0.],[0.49],[0.12],[-0.],[0.],[-1.12],[0.32],[6.36],[7.02],[17.68],[7.6],[-2.07],[1.86],[4.93],[3.98],[-0.03],[-0.03],[28.65],[21.18],[-1.61],[-1.27],[-26.45],[-28.22],[-11.22],[-10.58],[17.58],[18.38],[-9.52],[-9.76],[-11706.],[98724.],[-25.],[718.],[-33850.],[-37461.],[-1355.],[-1020.]
29,[51.79372334],[102.32847381],[0.],[0.],[0.07],[0.09],[0.01],[-0.02],[-0.53],[-0.04],[-0.02],[-0.04],[-0.17],[-0.17],[0.],[-0.],[0.15],[0.12],[-0.],[-0.],[4.98],[0.32],[7.64],[9.5],[5.28],[5.66],[11.81],[6.38],[-2.05],[0.54],[0.],[-0.02],[28.65],[23.15],[0.95],[0.52],[-26.45],[-28.84],[-9.19],[-10.02],[17.58],[18.14],[-9.52],[-9.32],[-11706.],[98757.],[-25.],[710.],[-33850.],[-37433.],[-1355.],[-1027.]
30,[51.85454297],[102.37942052],[0.],[0.],[0.1],[0.1],[0.01],[-0.03],[0.21],[0.08],[-0.06],[-0.06],[-0.06],[-0.11],[0.],[-0.],[0.46],[0.1],[-0.],[0.],[5.46],[0.32],[7.64],[9.91],[5.28],[3.53],[37.32],[9.81],[-6.95],[-0.58],[0.],[-0.02],[37.79],[30.7],[-0.66],[-0.28],[-26.45],[-29.59],[-9.19],[-9.42],[17.58],[18.23],[-8.48],[-8.81],[-11706.],[98723.],[-25.],[702.],[-33850.],[-37394.],[-1355.],[-1055.]
31,[51.91640782],[102.44114923],[0.],[0.],[0.01],[-0.],[0.01],[0.04],[-0.08],[-0.11],[0.08],[0.06],[0.07],[0.05],[0.],[-0.],[-0.15],[-0.02],[-0.],[-0.],[6.2],[0.32],[7.64],[12.42],[13.76],[8.11],[31.96],[5.17],[-9.75],[-0.58],[0.03],[-0.02],[65.59],[30.7],[-0.34],[-0.28],[-26.45],[-30.27],[-9.19],[-8.68],[17.58],[18.15],[-8.48],[-8.39],[-11706.],[98706.],[-27.],[693.],[-33850.],[-37394.],[-1355.],[-1072.]
32,[51.97733021],[102.50209594],[0.],[0.],[0.01],[0.02],[0.1],[0.1],[-0.08],[-0.1],[-0.18],[0.04],[-0.15],[-0.06],[0.],[0.],[-0.15],[-0.15],[-0.],[0.],[-0.36],[0.15],[0.24],[2.74],[25.94],[8.11],[31.42],[9.64],[-19.84],[-0.58],[-0.02],[-0.02],[56.52],[28.77],[-0.82],[-0.28],[-26.45],[-30.62],[-7.75],[-8.52],[17.58],[17.76],[-8.48],[-8.11],[-11706.],[98844.],[-27.],[692.],[-33850.],[-37569.],[-1355.],[-1098.]
33,[52.03905797],[102.56378675],[0.],[0.],[0.01],[0.02],[-0.03],[0.04],[-0.08],[-0.1],[0.09],[0.08],[0.03],[-0.02],[0.],[0.],[-0.83],[-0.11],[-0.],[0.01],[-1.91],[0.15],[-4.1],[0.3],[16.85],[8.11],[25.9],[11.39],[-23.53],[-0.58],[0.],[-0.02],[6.13],[17.9],[0.],[0.],[-26.45],[-30.6],[-7.04],[-8.5],[17.58],[17.19],[-8.48],[-8.01],[-11706.],[98897.],[-27.],[692.],[-33850.],[-37589.],[-1355.],[-1106.]
34,[52.10000324],[102.62476993],[0.],[0.],[0.01],[0.03],[-0.03],[0.01],[-0.08],[-0.07],[0.09],[0.06],[0.03],[0.],[0.],[0.],[0.98],[0.06],[-0.],[-0.],[-3.27],[0.15],[-3.64],[0.3],[-15.76],[1.92],[16.93],[11.39],[-19.26],[-0.58],[-0.02],[-0.02],[6.13],[14.8],[0.],[0.02],[-26.45],[-30.59],[-6.68],[-8.44],[16.6],[16.48],[-8.48],[-8.05],[-11706.],[98895.],[-27.],[692.],[-33850.],[-37575.],[-1355.],[-1108.]
35,[52.16169834],[102.6864903],[0.],[0.],[0.01],[-0.05],[0.01],[0.01],[-0.01],[-0.01],[-0.05],[-0.08],[0.03],[0.04],[0.],[0.],[-0.52],[-0.13],[-0.],[-0.],[-3.15],[0.15],[2.41],[0.98],[-3.15],[-4.12],[17.52],[11.39],[-28.73],[-0.58],[-0.02],[-0.05],[65.61],[22.27],[0.53],[0.16],[-26.45],[-30.52],[-6.52],[-8.11],[16.41],[16.16],[-8.48],[-8.31],[-11708.],[98885.],[-26.],[686.],[-33850.],[-37823.],[-1355.],[-1114.]
36,[52.22261572],[102.74729609],[0.],[0.],[0.01],[0.04],[-0.01],[0.04],[-0.01],[-0.01],[0.11],[0.07],[0.03],[-0.02],[0.],[0.],[0.3],[-0.1],[-0.],[0.],[-3.51],[0.15],[0.49],[0.98],[-8.08],[-4.12],[24.13],[11.39],[-26.8],[-0.58],[0.],[0.],[34.63],[28.38],[-0.31],[-0.1],[-26.45],[-30.38],[-6.13],[-7.97],[16.41],[15.69],[-8.48],[-8.34],[-11708.],[98882.],[-26.],[680.],[-33850.],[-37962.],[-1355.],[-1118.]
37,[52.28436708],[102.80916619],[0.],[0.],[0.01],[0.18],[-0.02],[-0.16],[-0.01],[0.02],[0.24],[0.03],[0.03],[-0.02],[0.],[0.],[0.06],[0.],[-0.],[-0.01],[-4.43],[0.15],[-1.05],[5.43],[-8.95],[-4.12],[7.38],[11.39],[-20.52],[-0.58],[0.],[0.],[53.08],[28.38],[0.12],[-0.1],[-26.45],[-30.13],[-5.65],[-7.97],[16.41],[15.55],[-8.48],[-8.23],[-11708.],[98839.],[-26.],[680.],[-33850.],[-37929.],[-1355.],[-1115.]
38,[52.33537984],[102.8700695],[0.],[0.],[-0.11],[-0.17],[-0.05],[-0.04],[0.12],[0.09],[-0.06],[-0.03],[0.03],[-0.],[0.],[0.],[0.06],[-0.01],[-0.],[0.],[-2.15],[0.15],[-0.68],[2.22],[-9.49],[-4.12],[14.58],[11.39],[-14.77],[-0.58],[0.],[0.],[56.72],[28.38],[0.74],[-0.16],[-26.45],[-30.06],[-5.64],[-7.97],[16.41],[16.02],[-7.41],[-7.86],[-11708.],[98645.],[-26.],[676.],[-33850.],[-37266.],[-1355.],[-1130.]
39,[52.39711833],[102.93194985],[0.],[0.],[-0.11],[-0.13],[0.],[0.01],[0.12],[0.1],[-0.02],[-0.03],[0.03],[0.],[0.],[0.],[0.06],[-0.01],[-0.],[-0.],[-0.59],[0.15],[-1.22],[-4.36],[-2.46],[-4.12],[16.89],[11.39],[-3.62],[-0.58],[-0.03],[0.],[50.28],[27.2],[-0.33],[-0.33],[-26.45],[-29.85],[-5.89],[-7.97],[16.41],[16.36],[-7.41],[-7.26],[-11708.],[98642.],[-26.],[673.],[-33850.],[-37114.],[-1355.],[-1153.]
40,[52.45793939],[102.99278426],[0.],[0.],[-0.03],[0.03],[0.],[0.01],[0.03],[-0.07],[-0.09],[-0.16],[0.03],[-0.01],[0.],[0.],[0.06],[0.04],[-0.],[0.01],[0.43],[0.15],[-2.47],[-3.81],[-0.81],[-4.12],[17.91],[11.39],[-0.11],[-0.28],[0.],[0.],[22.94],[17.89],[-0.3],[-0.33],[-26.45],[-28.98],[-6.11],[-7.97],[16.41],[16.56],[-7.41],[-6.95],[-11708.],[98639.],[-26.],[671.],[-33850.],[-36682.],[-1355.],[-1190.]
41,[52.519768],[103.04456139],[0.],[0.],[-0.02],[0.12],[0.05],[0.07],[0.2],[0.11],[-0.02],[0.09],[0.03],[-0.04],[0.],[0.],[0.06],[0.01],[-0.],[0.],[-0.28],[0.15],[-5.47],[-5.47],[11.89],[-4.12],[9.22],[9.6],[0.],[2.3],[0.],[0.],[22.94],[10.89],[-0.39],[-0.4],[-26.45],[-28.73],[-5.97],[-7.97],[16.41],[17.06],[-5.92],[-6.36],[-11708.],[98638.],[-26.],[671.],[-33850.],[-35850.],[-1355.],[-1181.]
42,[52.58071756],[103.10550904],[0.],[0.],[-0.02],[-0.07],[0.07],[0.07],[-0.14],[-0.03],[0.02],[0.09],[0.03],[0.05],[0.],[0.],[0.06],[-0.07],[-0.],[-0.],[-1.21],[0.15],[-5.18],[-3.77],[3.43],[-10.14],[1.2],[-0.],[0.],[0.88],[0.],[0.],[22.94],[14.56],[-0.05],[0.24],[-26.45],[-28.97],[-5.94],[-7.97],[16.41],[17.17],[-5.47],[-5.68],[-11708.],[98638.],[-26.],[671.],[-33850.],[-34724.],[-1355.],[-1149.]
43,[52.64244485],[103.16720891],[0.],[0.],[0.],[0.02],[-0.05],[-0.05],[-0.14],[-0.1],[0.09],[0.09],[0.03],[-0.],[0.],[0.],[0.06],[0.03],[-0.],[0.],[-0.26],[0.15],[-5.18],[-5.56],[-16.95],[-14.54],[1.2],[5.75],[0.],[-0.03],[0.02],[0.13],[-0.31],[6.61],[-0.15],[-0.15],[-26.45],[-29.11],[-6.],[-7.97],[16.41],[16.92],[-5.47],[-5.11],[-11708.],[98820.],[-26.],[674.],[-33796.],[-33229.],[-1355.],[-1132.]
