,Ref_task2_Time,User_task2_Time,Ref_task2_Force,User_task2_Force,Ref_task2_L_pitchAcc,User_task2_L_pitchAcc,Ref_task2_L_yawAcc,User_task2_L_yawAcc,Ref_task2_L_surgeAcc,User_task2_L_surgeAcc,Ref_task2_L_rollAcc,User_task2_L_rollAcc,Ref_task2_L_pitchVel,User_task2_L_pitchVel,Ref_task2_L_yawVel,User_task2_L_yawVel,Ref_task2_L_surgeVel,User_task2_L_surgeVel,Ref_task2_L_rollVel,User_task2_L_rollVel,Ref_task2_L_pitch,User_task2_L_pitch,Ref_task2_L_yaw,User_task2_L_yaw,Ref_task2_L_surge,User_task2_L_surge,Ref_task2_L_roll,User_task2_L_roll,Ref_task2_L_x,User_task2_L_x,Ref_task2_L_y,User_task2_L_y,Ref_task2_L_z,User_task2_L_z,Ref_task2_L_motion,User_task2_L_motion,Ref_task2_R_pitchAcc,User_task2_R_pitchAcc,Ref_task2_R_yawAcc,User_task2_R_yawAcc,Ref_task2_R_surgeAcc,User_task2_R_surgeAcc,Ref_task2_R_rollAcc,User_task2_R_rollAcc,Ref_task2_R_pitchVel,User_task2_R_pitchVel,Ref_task2_R_yawVel,User_task2_R_yawVel,Ref_task2_R_surgeVel,User_task2_R_surgeVel,Ref_task2_R_rollVel,User_task2_R_rollVel
221,[44.35557127],[44.33756685],[0.],[0.],[-0.],[0.],[0.02],[0.02],[0.02],[-0.01],[-0.01],[0.03],[0.],[-0.],[0.],[0.],[0.07],[0.08],[0.],[-0.],[-0.11],[0.23],[-0.48],[-0.85],[-1.1],[-0.69],[-2.12],[-1.88],[0.02],[0.],[0.],[0.],[12.47],[9.79],[0.23],[-0.07],[-17.],[-17.57],[-16.52],[-18.38],[7.61],[9.05],[-13.18],[-12.74],[-2762.],[105848.],[389.],[882.],[-21625.],[-21785.],[-984.],[-818.]
222,[44.41640782],[44.38942838],[0.],[0.],[-0.],[0.],[0.02],[0.02],[0.02],[0.02],[-0.01],[-0.01],[0.],[-0.],[0.],[0.],[0.07],[0.02],[0.],[-0.],[-0.11],[0.57],[0.73],[0.41],[0.52],[-0.17],[0.85],[0.35],[0.02],[0.],[0.],[0.],[12.47],[7.45],[0.23],[0.19],[-17.],[-17.48],[-16.63],[-18.38],[7.61],[9.05],[-13.18],[-12.65],[-2762.],[105848.],[389.],[882.],[-21625.],[-21685.],[-984.],[-813.]
223,[44.47827768],[44.4502728],[0.],[0.],[-0.],[-0.03],[-0.],[-0.],[0.02],[-0.],[-0.01],[-0.03],[0.],[-0.],[0.],[0.],[0.07],[-0.08],[0.],[-0.],[-0.11],[0.1],[0.73],[0.94],[0.52],[0.24],[0.85],[0.93],[0.02],[0.],[0.],[0.],[12.47],[6.46],[0.23],[0.3],[-17.],[-17.3],[-16.74],[-18.38],[11.02],[9.],[-13.18],[-12.57],[-2762.],[105847.],[389.],[880.],[-21625.],[-21563.],[-984.],[-808.]
224,[44.53919268],[44.51206684],[0.],[0.],[-0.],[-0.],[-0.],[-0.],[0.02],[0.01],[-0.01],[-0.02],[0.],[-0.],[0.],[0.],[0.07],[-0.],[0.],[-0.],[-0.11],[-0.34],[0.73],[1.26],[3.43],[1.51],[0.85],[3.2],[0.02],[0.],[0.],[0.],[12.47],[7.82],[-0.05],[0.02],[-17.],[-17.16],[-16.86],[-18.38],[11.06],[9.06],[-13.18],[-12.44],[-2762.],[105847.],[389.],[880.],[-21159.],[-21219.],[-984.],[-802.]
225,[44.60092974],[44.57303047],[0.],[0.],[-0.],[0.03],[-0.],[-0.01],[0.02],[0.01],[-0.01],[0.03],[0.],[-0.],[0.],[0.],[0.07],[-0.04],[0.],[-0.],[-0.11],[0.02],[0.73],[0.64],[0.92],[0.09],[0.85],[1.84],[0.02],[0.],[0.],[0.],[12.47],[10.87],[-0.05],[0.03],[-17.],[-17.22],[-16.96],[-18.38],[10.25],[9.25],[-13.18],[-12.4],[-2762.],[105753.],[389.],[880.],[-21159.],[-21013.],[-984.],[-797.]
226,[44.66186666],[44.63474202],[0.],[0.],[-0.],[-0.],[-0.],[-0.],[0.02],[0.02],[-0.01],[0.02],[0.],[-0.],[0.],[0.],[0.07],[0.01],[0.],[-0.],[-0.11],[-0.1],[0.73],[0.42],[0.92],[-0.11],[0.85],[0.74],[0.02],[0.02],[0.],[0.],[12.47],[12.38],[-0.05],[0.],[-17.],[-17.3],[-17.03],[-18.38],[9.82],[9.52],[-13.18],[-12.41],[-2762.],[105651.],[389.],[880.],[-21161.],[-20906.],[-984.],[-801.]
227,[44.72359538],[44.69618845],[0.],[0.],[-0.],[0.02],[-0.],[0.],[0.02],[-0.02],[-0.01],[0.07],[0.],[-0.],[0.],[0.],[0.07],[0.],[0.],[-0.],[0.84],[0.6],[0.73],[0.34],[0.92],[-0.99],[0.85],[-0.13],[0.02],[2.37],[0.],[0.],[12.47],[14.57],[-0.05],[0.02],[-17.],[-17.14],[-17.03],[-18.38],[9.82],[9.6],[-13.18],[-12.38],[-2762.],[105651.],[389.],[880.],[-21192.],[-20895.],[-984.],[-799.]
228,[44.78453922],[44.75713062],[0.],[0.],[-0.01],[-0.02],[-0.],[-0.],[0.02],[-0.],[-0.01],[0.],[0.],[-0.],[0.],[-0.],[0.07],[0.],[0.],[-0.],[1.39],[1.26],[0.73],[0.1],[0.92],[1.03],[0.85],[0.84],[0.02],[4.47],[0.],[0.],[12.47],[13.58],[-0.05],[0.],[-17.],[-16.92],[-17.03],[-18.38],[9.82],[9.66],[-13.18],[-12.37],[-2762.],[105587.],[389.],[880.],[-21192.],[-20890.],[-984.],[-788.]
229,[44.84637666],[44.81889224],[0.],[0.],[-0.01],[-0.03],[-0.],[0.],[0.02],[-0.01],[-0.01],[-0.13],[0.],[-0.],[0.],[-0.],[0.07],[0.],[0.],[0.],[1.39],[1.28],[0.73],[1.4],[0.92],[-1.06],[0.85],[1.88],[0.02],[3.61],[0.],[0.],[6.4],[8.11],[-0.05],[0.],[-17.],[-16.76],[-17.12],[-18.38],[9.82],[9.72],[-13.18],[-12.24],[-2762.],[105275.],[389.],[880.],[-20613.],[-20886.],[-984.],[-778.]
230,[44.9080708],[44.87974763],[0.],[0.],[-0.01],[-0.01],[0.02],[0.01],[0.02],[0.03],[-0.01],[0.06],[0.],[-0.],[0.],[-0.],[0.07],[0.],[0.],[-0.],[1.39],[1.52],[0.73],[2.48],[-7.67],[-4.34],[0.85],[-0.82],[0.02],[3.64],[0.],[0.],[1.93],[2.07],[-0.05],[-0.21],[-17.],[-16.75],[-17.19],[-18.38],[9.82],[9.67],[-13.18],[-12.14],[-2762.],[104941.],[389.],[881.],[-20613.],[-20886.],[-984.],[-758.]
231,[44.9080708],[44.93156004],[0.],[0.],[-0.],[0.],[0.01],[0.01],[0.02],[-0.03],[-0.01],[-0.01],[0.],[-0.03],[0.],[-0.],[0.07],[-0.01],[0.],[0.],[1.39],[1.62],[0.73],[2.29],[-4.34],[-4.34],[0.85],[0.82],[0.02],[3.19],[0.],[0.],[1.93],[1.88],[-0.05],[-0.1],[-17.],[-16.85],[-17.25],[-18.38],[9.39],[9.32],[-13.18],[-12.21],[-2762.],[104723.],[389.],[881.],[-20613.],[-20883.],[-984.],[-742.]
232,[44.96893859],[44.99254537],[0.],[0.],[0.04],[0.02],[-0.02],[-0.02],[0.02],[-0.05],[-0.01],[0.02],[0.],[0.02],[0.],[-0.],[0.07],[0.01],[0.],[-0.],[1.39],[0.08],[0.73],[2.01],[-0.28],[-4.34],[0.85],[0.48],[0.02],[1.19],[0.],[0.],[1.93],[2.65],[0.3],[0.15],[-17.],[-16.94],[-17.41],[-18.38],[9.14],[9.31],[-13.18],[-12.3],[-2762.],[104675.],[389.],[881.],[-20613.],[-20876.],[-984.],[-733.]
233,[45.03073907],[45.05423594],[0.],[0.],[0.04],[0.02],[0.01],[-0.01],[0.02],[-0.03],[-0.01],[-0.02],[0.],[0.02],[0.],[-0.],[0.07],[0.09],[0.],[0.],[1.39],[0.04],[0.73],[1.27],[-5.48],[-6.03],[0.85],[-1.09],[0.02],[0.2],[0.],[0.],[1.93],[3.55],[0.3],[0.42],[-17.],[-16.98],[-17.44],[-18.38],[9.19],[9.45],[-13.18],[-12.52],[-2762.],[104614.],[389.],[881.],[-20613.],[-20554.],[-984.],[-733.]
234,[45.08163071],[45.11512876],[0.],[0.],[0.04],[0.03],[-0.05],[-0.01],[0.02],[0.08],[-0.01],[0.],[0.],[0.],[0.],[0.],[0.07],[0.03],[0.],[0.],[1.54],[1.94],[0.73],[1.14],[-0.65],[-1.37],[0.85],[-2.61],[0.],[0.],[0.],[0.02],[1.93],[4.29],[0.3],[0.42],[-17.],[-17.03],[-17.55],[-18.38],[9.18],[9.48],[-13.18],[-12.66],[-2762.],[104482.],[389.],[881.],[-20613.],[-20155.],[-984.],[-732.]
235,[45.15344763],[45.17693496],[0.],[0.],[-0.02],[-0.02],[0.02],[-0.],[0.02],[0.06],[-0.01],[-0.03],[0.],[0.],[0.],[0.],[0.07],[-0.13],[-0.],[0.],[1.54],[1.82],[0.73],[1.17],[2.81],[1.96],[0.85],[-0.82],[0.],[0.02],[0.],[0.03],[1.93],[3.55],[0.3],[0.27],[-17.],[-17.03],[-17.74],[-18.38],[8.98],[9.53],[-13.18],[-12.71],[-2762.],[104277.],[389.],[882.],[-20613.],[-20053.],[-984.],[-724.]
236,[45.21427894],[45.23784423],[0.],[0.],[-0.03],[-0.02],[0.02],[-0.],[0.02],[-0.],[-0.01],[0.01],[0.],[0.],[0.],[0.],[0.07],[-0.01],[-0.],[0.],[1.54],[2.77],[0.73],[1.12],[1.62],[1.84],[0.85],[0.12],[0.],[0.],[0.],[0.02],[1.93],[1.84],[0.08],[0.1],[-17.],[-16.92],[-17.62],[-18.38],[9.19],[9.59],[-13.18],[-12.68],[-2762.],[103987.],[389.],[883.],[-20613.],[-19958.],[-984.],[-724.]
237,[45.2661202],[45.28960752],[0.],[0.],[-0.04],[-0.05],[-0.],[-0.],[0.02],[-0.],[-0.01],[0.02],[0.],[0.],[0.],[0.],[0.07],[0.01],[0.01],[0.],[1.54],[1.77],[0.73],[1.13],[1.62],[1.74],[0.85],[4.16],[0.],[0.],[0.],[0.],[1.93],[1.69],[0.08],[0.25],[-17.],[-16.79],[-17.58],[-18.38],[10.06],[9.73],[-13.18],[-12.67],[-2762.],[103657.],[389.],[887.],[-20613.],[-19994.],[-984.],[-724.]
238,[45.32709384],[45.3514843],[0.],[0.],[0.01],[-0.01],[-0.03],[-0.],[0.02],[-0.01],[-0.01],[-0.],[0.],[0.],[0.],[0.],[0.07],[0.01],[0.01],[0.],[0.55],[-0.],[0.73],[1.87],[1.62],[1.15],[0.85],[4.34],[0.],[0.],[0.],[0.],[1.93],[2.],[-0.27],[-0.15],[-17.],[-16.72],[-17.62],[-18.38],[10.06],[9.86],[-13.18],[-12.8],[-2762.],[103232.],[389.],[894.],[-20613.],[-19996.],[-984.],[-736.]
239,[45.38881779],[45.41230226],[0.],[0.],[0.04],[0.06],[0.02],[-0.],[0.02],[0.02],[-0.01],[0.04],[0.],[0.],[0.],[0.],[0.07],[0.01],[-0.],[0.],[0.55],[-0.83],[0.72],[0.4],[1.62],[2.43],[0.85],[-3.61],[0.],[0.],[0.],[0.],[1.93],[5.73],[-0.24],[-0.15],[-17.],[-16.69],[-17.66],[-18.38],[10.06],[9.94],[-13.18],[-13.05],[-2762.],[102736.],[389.],[894.],[-20613.],[-19996.],[-984.],[-741.]
240,[45.44965196],[45.47311831],[0.],[0.],[0.04],[0.02],[-0.03],[-0.],[0.02],[-0.07],[-0.01],[-0.04],[0.],[0.],[0.],[0.],[0.07],[-0.09],[0.01],[0.],[0.55],[-0.77],[0.72],[-0.33],[1.62],[-1.7],[0.85],[0.2],[0.],[0.],[0.],[0.],[1.93],[3.32],[0.18],[-0.11],[-17.],[-16.69],[-17.68],[-18.38],[10.06],[10.4],[-13.18],[-13.39],[-2762.],[102222.],[389.],[894.],[-20613.],[-19997.],[-984.],[-739.]
241,[45.51151681],[45.53499198],[0.],[0.],[-0.02],[-0.02],[0.04],[0.03],[0.02],[0.05],[-0.01],[-0.],[0.],[-0.],[0.],[-0.],[0.07],[-0.07],[-0.01],[-0.01],[0.55],[0.49],[0.72],[-1.26],[1.62],[1.61],[0.85],[-0.18],[0.],[0.],[0.],[-0.03],[1.93],[1.78],[-0.35],[-0.57],[-17.],[-16.72],[-17.79],[-18.38],[10.89],[10.61],[-13.64],[-13.7],[-2762.],[101721.],[389.],[894.],[-20613.],[-19995.],[-984.],[-733.]
242,[45.57234454],[45.59578943],[0.],[0.],[-0.02],[-0.04],[-0.02],[0.02],[0.02],[0.27],[-0.01],[-0.07],[0.],[0.03],[0.],[-0.],[0.07],[0.13],[0.],[0.],[1.33],[1.49],[0.72],[-1.37],[1.62],[17.92],[0.85],[0.89],[0.],[0.],[0.],[0.],[-0.13],[0.18],[-0.35],[-0.93],[-17.],[-16.74],[-17.92],[-18.38],[10.89],[10.99],[-14.08],[-13.95],[-2762.],[101325.],[389.],[898.],[-20613.],[-19985.],[-984.],[-733.]
243,[45.63419056],[45.65776372],[0.],[0.],[-0.02],[-0.03],[0.03],[0.02],[0.02],[-0.27],[-0.01],[0.02],[0.],[0.03],[0.],[-0.],[0.07],[0.03],[0.],[-0.],[1.33],[3.2],[0.72],[0.7],[1.62],[1.83],[0.85],[-0.03],[0.],[0.],[0.],[0.],[-0.13],[0.08],[-0.08],[-0.07],[-17.],[-16.76],[-18.06],[-18.38],[10.89],[11.22],[-14.08],[-13.99],[-2762.],[101149.],[389.],[898.],[-20613.],[-20003.],[-984.],[-740.]
244,[45.69596195],[45.71848321],[0.],[0.],[0.01],[0.],[-0.03],[-0.02],[0.02],[-0.01],[-0.01],[0.05],[0.],[-0.07],[0.],[-0.],[0.07],[0.],[-0.01],[-0.01],[1.33],[2.29],[0.72],[2.23],[1.62],[1.18],[0.85],[0.03],[0.],[0.],[0.],[0.],[-0.13],[0.07],[-0.13],[-0.17],[-17.],[-16.81],[-18.2],[-18.38],[12.35],[11.32],[-14.08],[-14.08],[-2762.],[101003.],[389.],[899.],[-20613.],[-19994.],[-984.],[-740.]
245,[45.75784731],[45.78033757],[0.],[0.],[0.01],[0.01],[-0.03],[-0.04],[0.02],[-0.01],[-0.01],[-0.03],[0.],[-0.],[0.],[-0.],[0.07],[0.04],[0.],[0.],[1.33],[-0.95],[0.72],[1.2],[1.62],[0.84],[0.85],[-1.78],[-0.02],[-0.03],[0.],[0.],[-0.13],[0.],[-0.4],[-0.17],[-17.],[-16.92],[-18.2],[-18.38],[13.08],[11.41],[-14.08],[-14.23],[-2762.],[100928.],[389.],[899.],[-20613.],[-19646.],[-984.],[-742.]
246,[45.81863332],[45.84213233],[0.],[0.],[0.01],[0.01],[0.02],[0.01],[0.02],[-0.02],[-0.01],[0.02],[0.],[0.03],[0.],[0.],[0.07],[-0.02],[0.],[0.],[1.33],[-1.43],[0.72],[-1.34],[1.62],[-0.09],[0.85],[-1.33],[-0.02],[-2.08],[0.],[0.],[-0.13],[0.05],[0.],[0.1],[-17.],[-16.99],[-18.15],[-18.38],[12.62],[11.42],[-14.08],[-14.4],[-2762.],[100926.],[389.],[899.],[-20613.],[-19187.],[-984.],[-761.]
247,[45.87950468],[45.89313078],[0.],[0.],[0.01],[-0.01],[0.01],[0.01],[0.02],[-0.01],[-0.01],[0.02],[0.],[0.05],[0.],[0.],[0.07],[0.],[0.],[-0.],[1.33],[2.55],[0.72],[-0.91],[-4.07],[-0.83],[0.85],[-0.06],[-0.02],[-1.17],[0.],[0.],[-0.13],[0.12],[0.],[0.02],[-17.],[-17.03],[-18.01],[-18.38],[12.09],[11.46],[-14.08],[-14.55],[-2762.],[100926.],[389.],[899.],[-20613.],[-19192.],[-984.],[-763.]
248,[45.94134068],[45.9539299],[0.],[0.],[0.03],[0.02],[0.02],[0.03],[0.02],[0.03],[-0.01],[0.01],[0.],[-0.],[0.],[0.],[0.07],[-0.04],[0.],[-0.],[1.33],[3.86],[0.72],[0.7],[-4.07],[1.02],[0.85],[-0.07],[-0.02],[-0.08],[0.],[0.02],[-0.13],[5.28],[0.],[0.02],[-17.],[-17.13],[-18.25],[-18.4],[11.24],[11.36],[-14.08],[-14.67],[-2762.],[100925.],[389.],[897.],[-20613.],[-19245.],[-984.],[-757.]
249,[46.00214767],[46.01569414],[0.],[0.],[0.03],[0.03],[0.02],[0.02],[0.02],[0.04],[-0.01],[-0.01],[0.],[-0.02],[0.],[-0.],[0.07],[0.02],[-0.],[-0.],[1.33],[2.71],[0.72],[2.04],[8.89],[3.17],[0.85],[2.46],[-0.02],[0.],[0.],[0.],[-0.13],[6.65],[0.],[0.08],[-17.],[-17.17],[-18.53],[-18.55],[11.52],[11.45],[-14.08],[-14.78],[-2762.],[100925.],[389.],[895.],[-20613.],[-19245.],[-984.],[-754.]
250,[46.06403375],[46.0766027],[0.],[0.],[-0.],[0.],[-0.02],[-0.02],[0.02],[0.02],[-0.01],[-0.01],[0.],[-0.02],[0.],[-0.],[0.07],[0.],[-0.],[-0.],[0.55],[0.09],[0.72],[0.83],[6.67],[4.62],[0.85],[0.23],[-0.02],[0.],[0.],[0.],[-0.13],[1.7],[0.],[0.09],[-17.],[-17.21],[-18.85],[-18.76],[11.52],[11.47],[-14.08],[-14.76],[-2762.],[100925.],[389.],[895.],[-20613.],[-19245.],[-984.],[-749.]
251,[46.12485409],[46.1283884],[0.],[0.],[-0.],[-0.02],[-0.02],[-0.01],[0.02],[-0.05],[0.08],[0.09],[0.],[-0.03],[0.],[-0.],[0.07],[-0.],[-0.01],[-0.],[-0.06],[-1.61],[0.72],[0.11],[-6.25],[1.34],[0.85],[0.15],[-0.02],[0.],[0.],[0.],[-0.13],[1.61],[0.],[0.1],[-17.],[-17.23],[-18.85],[-18.97],[11.52],[11.7],[-14.08],[-14.71],[-2762.],[100925.],[389.],[895.],[-20613.],[-19243.],[-984.],[-747.]
252,[46.18679667],[46.18934274],[0.],[0.],[-0.],[-0.01],[-0.02],[-0.02],[0.02],[-0.01],[0.13],[0.09],[0.],[-0.01],[0.],[-0.],[0.07],[-0.],[-0.],[-0.],[-0.06],[-1.46],[0.72],[-0.88],[-6.56],[0.99],[0.85],[-4.],[-0.02],[0.],[0.],[0.],[-0.13],[-0.6],[0.],[0.08],[-17.],[-17.21],[-19.21],[-19.09],[11.52],[11.74],[-14.08],[-14.52],[-2762.],[100925.],[389.],[895.],[-20613.],[-19573.],[-984.],[-753.]
253,[46.24851465],[46.25103951],[0.],[0.],[-0.],[-0.01],[-0.02],[0.],[0.02],[0.],[-0.08],[-0.08],[0.],[-0.03],[0.],[-0.],[0.07],[-0.],[0.01],[0.01],[-0.06],[-0.57],[0.72],[-0.59],[-1.19],[1.01],[0.85],[-2.65],[-0.02],[-0.02],[0.],[0.],[-0.13],[-0.03],[0.],[-0.07],[-17.],[-17.11],[-19.21],[-19.16],[11.52],[11.76],[-14.08],[-14.41],[-2762.],[100925.],[389.],[895.],[-20613.],[-20139.],[-984.],[-751.]
254,[46.3194654],[46.3119328],[0.],[0.],[-0.],[-0.01],[-0.02],[-0.02],[0.02],[-0.03],[-0.07],[-0.04],[0.],[-0.01],[0.],[-0.],[0.07],[-0.],[0.01],[0.01],[-0.06],[-0.94],[0.72],[-1.53],[-1.19],[-0.82],[0.85],[0.36],[-0.02],[0.],[0.02],[0.02],[-0.13],[0.],[0.],[0.03],[-17.],[-16.98],[-19.21],[-19.18],[12.63],[11.89],[-14.08],[-14.36],[-2762.],[100926.],[389.],[895.],[-20613.],[-20235.],[-984.],[-747.]
255,[46.38128948],[46.37384963],[0.],[0.],[-0.],[0.],[-0.04],[-0.02],[0.02],[-0.09],[-0.01],[-0.03],[0.],[-0.01],[0.],[-0.],[0.07],[-0.],[0.01],[0.01],[-0.06],[0.06],[0.72],[-0.76],[-1.19],[-5.94],[0.85],[-1.74],[-0.97],[-1.57],[0.02],[0.02],[-0.13],[-0.02],[0.],[0.19],[-17.],[-16.94],[-19.21],[-19.18],[13.53],[11.92],[-14.08],[-14.37],[-2762.],[100926.],[389.],[895.],[-20613.],[-20237.],[-984.],[-772.]
256,[46.44200444],[46.4346745],[0.],[0.],[-0.],[-0.],[0.02],[0.01],[0.02],[0.1],[-0.01],[0.07],[0.],[0.01],[0.],[-0.],[0.07],[-0.],[0.01],[0.01],[-0.06],[1.93],[0.72],[0.88],[-1.19],[-0.14],[0.85],[-0.54],[-0.97],[-1.7],[0.05],[0.07],[-0.13],[0.03],[0.],[0.17],[-17.],[-16.99],[-19.21],[-19.16],[13.79],[11.91],[-14.08],[-14.32],[-2762.],[100926.],[389.],[895.],[-20613.],[-20233.],[-984.],[-766.]
257,[46.50394797],[46.49603081],[0.],[0.],[-0.],[-0.01],[0.02],[0.03],[0.02],[0.04],[-0.01],[-0.02],[0.],[0.02],[0.],[-0.],[0.07],[0.01],[-0.],[0.],[-0.06],[2.2],[0.72],[2.04],[2.79],[2.27],[0.85],[0.37],[-0.97],[0.],[0.05],[0.12],[-0.13],[0.16],[0.],[0.33],[-17.],[-17.05],[-19.21],[-19.14],[14.13],[11.85],[-14.08],[-14.21],[-2762.],[100926.],[389.],[895.],[-20613.],[-20096.],[-984.],[-767.]
258,[46.56468225],[46.55788302],[0.],[0.],[-0.],[-0.02],[0.02],[0.02],[0.02],[-0.03],[-0.01],[0.01],[0.],[0.06],[0.],[-0.],[0.07],[-0.01],[-0.],[0.],[-0.06],[1.08],[0.72],[2.9],[2.79],[0.46],[0.85],[0.74],[-0.97],[-1.1],[0.],[0.],[-0.13],[-0.31],[0.],[0.26],[-17.],[-17.02],[-19.21],[-19.13],[14.06],[11.93],[-14.08],[-14.26],[-2762.],[100926.],[389.],[895.],[-20613.],[-20045.],[-984.],[-758.]
259,[46.62651682],[46.6188097],[0.],[0.],[-0.],[0.01],[-0.01],[0.01],[0.02],[0.01],[-0.01],[0.03],[0.],[0.01],[0.],[-0.],[0.07],[0.],[-0.],[0.],[-0.06],[0.43],[0.72],[2.64],[2.79],[0.92],[0.85],[-0.11],[-4.08],[-5.29],[0.],[0.],[-0.13],[0.15],[0.],[0.15],[-17.],[-16.96],[-19.21],[-19.16],[13.71],[11.99],[-14.08],[-14.21],[-2762.],[100926.],[389.],[895.],[-20613.],[-19978.],[-984.],[-754.]
260,[46.68746305],[46.68057966],[0.],[0.],[-0.],[0.01],[-0.01],[-0.],[0.02],[0.],[-0.01],[-0.02],[0.],[0.02],[0.],[0.],[0.07],[0.02],[-0.],[-0.],[-0.06],[0.07],[0.72],[1.91],[2.79],[0.97],[0.85],[-0.42],[-4.08],[-5.57],[0.],[0.],[-0.13],[5.8],[0.],[0.],[-17.],[-16.97],[-19.21],[-19.17],[13.99],[12.],[-14.08],[-14.18],[-2762.],[100926.],[389.],[895.],[-20613.],[-20060.],[-984.],[-765.]
261,[46.73932195],[46.73247623],[0.],[0.],[-0.],[-0.02],[-0.01],[-0.01],[0.02],[0.02],[-0.01],[-0.],[0.],[0.02],[0.],[0.],[0.07],[0.04],[-0.],[-0.],[-0.06],[-0.56],[0.72],[0.71],[2.79],[2.33],[0.85],[5.47],[-4.08],[-3.57],[0.],[0.],[-0.13],[7.78],[0.],[0.02],[-17.],[-17.02],[-19.21],[-19.21],[14.45],[12.],[-14.08],[-14.24],[-2762.],[100926.],[389.],[895.],[-20613.],[-20062.],[-984.],[-773.]
262,[46.80101061],[46.79326153],[0.],[0.],[-0.],[0.02],[-0.01],[-0.02],[0.02],[-0.],[-0.01],[-0.01],[0.],[0.],[0.],[0.],[0.07],[0.07],[-0.],[-0.],[-0.06],[-0.27],[-1.19],[-0.53],[2.79],[2.28],[0.85],[0.7],[-4.08],[-0.79],[0.03],[0.07],[-0.13],[-0.08],[0.],[0.13],[-17.],[-17.11],[-19.21],[-19.22],[13.9],[12.],[-14.08],[-14.4],[-2762.],[100926.],[389.],[895.],[-20613.],[-20061.],[-984.],[-781.]
263,[46.86194491],[46.85503602],[0.],[0.],[-0.],[-0.],[-0.01],[-0.02],[0.02],[-0.02],[-0.01],[0.],[0.],[0.],[0.],[0.],[0.07],[-0.02],[-0.],[-0.],[-0.06],[-0.37],[-1.19],[-0.36],[2.79],[1.35],[0.85],[-1.65],[-4.08],[-1.02],[0.],[0.],[-0.13],[-0.88],[0.],[0.],[-17.],[-17.26],[-19.21],[-19.2],[13.31],[12.],[-14.08],[-14.45],[-2762.],[100926.],[389.],[895.],[-20613.],[-20061.],[-984.],[-783.]
264,[46.92371321],[46.9159708],[0.],[0.],[-0.],[0.],[0.],[0.],[0.02],[0.1],[-0.01],[0.03],[0.],[0.],[0.],[0.],[0.07],[-0.05],[-0.],[-0.],[-0.06],[-0.7],[-1.19],[0.17],[2.79],[7.41],[0.85],[-3.65],[-4.08],[-2.13],[0.],[0.],[-0.13],[0.],[0.],[0.],[-17.],[-17.33],[-19.21],[-19.16],[12.72],[12.],[-14.08],[-14.44],[-2762.],[100926.],[389.],[895.],[-20613.],[-20060.],[-984.],[-792.]
265,[46.98466635],[46.97674084],[0.],[0.],[-0.],[0.01],[0.],[0.01],[0.02],[-0.07],[-0.01],[-0.02],[0.],[0.],[0.],[0.],[0.07],[-0.04],[-0.],[0.],[-0.06],[-1.78],[-1.19],[-0.56],[2.79],[3.34],[0.85],[0.27],[-4.08],[-3.42],[0.03],[0.02],[-0.13],[0.],[0.],[-0.2],[-17.],[-17.33],[-19.21],[-19.11],[13.86],[12.],[-14.08],[-14.2],[-2762.],[100958.],[389.],[895.],[-20613.],[-20060.],[-984.],[-807.]
266,[47.04635596],[47.03854704],[0.],[0.],[-0.],[0.02],[-0.01],[-0.01],[0.02],[0.05],[-0.01],[0.02],[0.],[0.],[0.],[0.],[0.07],[0.03],[-0.],[0.],[-0.06],[-1.19],[-1.19],[-1.6],[2.79],[6.2],[0.85],[-0.86],[-5.82],[-5.],[0.],[0.02],[-0.13],[0.03],[0.],[-0.08],[-17.],[-17.4],[-19.21],[-19.09],[13.98],[12.],[-14.08],[-13.94],[-2762.],[101039.],[389.],[895.],[-20613.],[-20069.],[-984.],[-843.]
267,[47.10729384],[47.09043765],[0.],[0.],[-0.],[0.01],[-0.01],[-0.02],[0.02],[-0.04],[-0.01],[0.],[0.],[0.],[0.],[0.],[0.07],[0.02],[-0.],[-0.],[-0.06],[-0.69],[-1.19],[-1.61],[2.79],[3.81],[0.85],[-0.53],[-5.82],[-5.5],[0.02],[0.02],[-0.13],[-5.5],[0.],[0.03],[-17.],[-17.44],[-19.21],[-19.09],[13.91],[12.],[-14.08],[-14.16],[-2762.],[101170.],[389.],[895.],[-20613.],[-20079.],[-984.],[-864.]
268,[47.16908121],[47.15136123],[0.],[0.],[-0.],[-0.03],[-0.],[-0.],[0.02],[-0.04],[-0.01],[-0.],[0.],[0.],[0.],[0.],[0.07],[-0.05],[-0.],[0.],[-0.06],[-1.64],[-1.19],[-1.75],[2.79],[1.7],[0.85],[1.26],[-5.82],[-7.08],[0.02],[0.02],[-0.13],[-9.43],[0.],[0.1],[-17.],[-17.47],[-19.21],[-19.14],[13.63],[12.],[-14.08],[-14.14],[-2762.],[101413.],[389.],[893.],[-20613.],[-20089.],[-984.],[-840.]
269,[47.22993565],[47.21311593],[0.],[0.],[-0.],[-0.02],[-0.],[-0.],[0.02],[-0.],[-0.01],[-0.04],[0.],[0.],[0.],[0.],[0.07],[-0.01],[-0.],[0.],[-0.06],[-0.63],[-1.19],[-1.63],[2.79],[1.48],[0.85],[-0.2],[-5.82],[-8.],[0.],[0.],[-0.13],[-1.6],[0.],[0.],[-17.],[-17.49],[-19.21],[-19.21],[13.54],[12.],[-14.08],[-14.15],[-2762.],[101643.],[389.],[889.],[-20613.],[-20070.],[-984.],[-828.]
